Device Name,Description,Device Pool,Phone Button Template,CSS,AAR CSS,Location,Directory Number 1,Line Text Label 1,External Phone Number Mask 1,Line Description 1,Alerting Name 1,ASCII Alerting Name 1,Display 1,ASCII Display 1,Directory Number 2,Line Text Label 2,External Phone Number Mask 2,Line Description 2,Alerting Name 2,ASCII Alerting Name 2,Display 2,ASCII Display 2,Directory Number 3,Line Text Label 3,External Phone Number Mask 3,Line Description 3,Alerting Name 3,ASCII Alerting Name 3,Display 3,ASCII Display 3
MACADDRESS,Manager - 7020200,,,,,,7020200,Manager - 7020200,3106380484,Manager - 7020200,Manager - 7020200,Manager - 7020200,Manager - 7020200,Manager - 7020200,,,,,,,,,,,,,,,,
MACADDRESS,Employee 1 - 7020211,,,,,,7020211,Employee 1 - 7020211,3106380484,Employee 1 - 7020211,Employee 1 - 7020211,Employee 1 - 7020211,Employee 1 - 7020211,Employee 1 - 7020211,,,,,,,,,,,,,,,,
MACADDRESS,Employee 2 - 7020212,,,,,,7020212,Employee 2 - 7020212,3106380484,Employee 2 - 7020212,Employee 2 - 7020212,Employee 2 - 7020212,Employee 2 - 7020212,Employee 2 - 7020212,,,,,,,,,,,,,,,,
MACADDRESS,Employee 3 - 7020213,,,,,,7020213,Employee 3 - 7020213,3106380484,Employee 3 - 7020213,Employee 3 - 7020213,Employee 3 - 7020213,Employee 3 - 7020213,Employee 3 - 7020213,,,,,,,,,,,,,,,,
MACADDRESS,Employee 4 - 7020214,,,,,,7020214,Employee 4 - 7020214,3106380484,Employee 4 - 7020214,Employee 4 - 7020214,Employee 4 - 7020214,Employee 4 - 7020214,Employee 4 - 7020214,,,,,,,,,,,,,,,,
MACADDRESS,Employee 5 - 7020215,,,,,,7020215,Employee 5 - 7020215,3106380484,Employee 5 - 7020215,Employee 5 - 7020215,Employee 5 - 7020215,Employee 5 - 7020215,Employee 5 - 7020215,,,,,,,,,,,,,,,,
MACADDRESS,Employee 6 - 7020216,,,,,,7020216,Employee 6 - 7020216,3106380484,Employee 6 - 7020216,Employee 6 - 7020216,Employee 6 - 7020216,Employee 6 - 7020216,Employee 6 - 7020216,,,,,,,,,,,,,,,,
MACADDRESS,Employee 7 - 7020217,,,,,,7020217,Employee 7 - 7020217,3106380484,Employee 7 - 7020217,Employee 7 - 7020217,Employee 7 - 7020217,Employee 7 - 7020217,Employee 7 - 7020217,,,,,,,,,,,,,,,,
MACADDRESS,Employee 8 - 7020218,,,,,,7020218,Employee 8 - 7020218,3106380484,Employee 8 - 7020218,Employee 8 - 7020218,Employee 8 - 7020218,Employee 8 - 7020218,Employee 8 - 7020218,,,,,,,,,,,,,,,,
MACADDRESS,Employee 9 - 7020219,,,,,,7020219,Employee 9 - 7020219,3106380484,Employee 9 - 7020219,Employee 9 - 7020219,Employee 9 - 7020219,Employee 9 - 7020219,Employee 9 - 7020219,,,,,,,,,,,,,,,,
MACADDRESS,Employee 10 - 7020220,,,,,,7020220,Employee 10 - 7020220,3106380484,Employee 10 - 7020220,Employee 10 - 7020220,Employee 10 - 7020220,Employee 10 - 7020220,Employee 10 - 7020220,,,,,,,,,,,,,,,,
MACADDRESS,Employee 11 - 7020221,,,,,,7020221,Employee 11 - 7020221,3106380484,Employee 11 - 7020221,Employee 11 - 7020221,Employee 11 - 7020221,Employee 11 - 7020221,Employee 11 - 7020221,,,,,,,,,,,,,,,,
MACADDRESS,Employee 12 - 7020222,,,,,,7020222,Employee 12 - 7020222,3106380484,Employee 12 - 7020222,Employee 12 - 7020222,Employee 12 - 7020222,Employee 12 - 7020222,Employee 12 - 7020222,,,,,,,,,,,,,,,,
MACADDRESS,Employee 13 - 7020223,,,,,,7020223,Employee 13 - 7020223,3106380484,Employee 13 - 7020223,Employee 13 - 7020223,Employee 13 - 7020223,Employee 13 - 7020223,Employee 13 - 7020223,,,,,,,,,,,,,,,,
MACADDRESS,Employee 14 - 7020224,,,,,,7020224,Employee 14 - 7020224,3106380484,Employee 14 - 7020224,Employee 14 - 7020224,Employee 14 - 7020224,Employee 14 - 7020224,Employee 14 - 7020224,,,,,,,,,,,,,,,,
MACADDRESS,Employee 15 - 7020225,,,,,,7020225,Employee 15 - 7020225,3106380484,Employee 15 - 7020225,Employee 15 - 7020225,Employee 15 - 7020225,Employee 15 - 7020225,Employee 15 - 7020225,,,,,,,,,,,,,,,,
MACADDRESS,Employee 16 - 7020226,,,,,,7020226,Employee 16 - 7020226,3106380484,Employee 16 - 7020226,Employee 16 - 7020226,Employee 16 - 7020226,Employee 16 - 7020226,Employee 16 - 7020226,,,,,,,,,,,,,,,,
MACADDRESS,Employee 17 - 7020227,,,,,,7020227,Employee 17 - 7020227,3106380484,Employee 17 - 7020227,Employee 17 - 7020227,Employee 17 - 7020227,Employee 17 - 7020227,Employee 17 - 7020227,,,,,,,,,,,,,,,,
MACADDRESS,Employee 18 - 7020228,,,,,,7020228,Employee 18 - 7020228,3106380484,Employee 18 - 7020228,Employee 18 - 7020228,Employee 18 - 7020228,Employee 18 - 7020228,Employee 18 - 7020228,,,,,,,,,,,,,,,,
MACADDRESS,Employee 19 - 7020229,,,,,,7020229,Employee 19 - 7020229,3106380484,Employee 19 - 7020229,Employee 19 - 7020229,Employee 19 - 7020229,Employee 19 - 7020229,Employee 19 - 7020229,,,,,,,,,,,,,,,,
