Device Name,Description,Device Pool,Phone Button Template,CSS,AAR CSS,Location,Directory Number 1,Line Text Label 1,External Phone Number Mask 1,Line Description 1,Alerting Name 1,ASCII Alerting Name 1,Display 1,ASCII Display 1,Directory Number 2,Line Text Label 2,External Phone Number Mask 2,Line Description 2,Alerting Name 2,ASCII Alerting Name 2,Display 2,ASCII Display 2,Directory Number 3,Line Text Label 3,External Phone Number Mask 3,Line Description 3,Alerting Name 3,ASCII Alerting Name 3,Display 3,ASCII Display 3
MACADDRESS,Manager - 7030300,,,,,,7030300,Manager - 7030300,7145412253,Manager - 7030300,Manager - 7030300,Manager - 7030300,Manager - 7030300,Manager - 7030300,,,,,,,,,,,,,,,,
MACADDRESS,Employee 1 - 7030311,,,,,,7030311,Employee 1 - 7030311,7145412253,Employee 1 - 7030311,Employee 1 - 7030311,Employee 1 - 7030311,Employee 1 - 7030311,Employee 1 - 7030311,,,,,,,,,,,,,,,,
MACADDRESS,Employee 2 - 7030312,,,,,,7030312,Employee 2 - 7030312,7145412253,Employee 2 - 7030312,Employee 2 - 7030312,Employee 2 - 7030312,Employee 2 - 7030312,Employee 2 - 7030312,,,,,,,,,,,,,,,,
MACADDRESS,Employee 3 - 7030313,,,,,,7030313,Employee 3 - 7030313,7145412253,Employee 3 - 7030313,Employee 3 - 7030313,Employee 3 - 7030313,Employee 3 - 7030313,Employee 3 - 7030313,,,,,,,,,,,,,,,,
MACADDRESS,Employee 4 - 7030314,,,,,,7030314,Employee 4 - 7030314,7145412253,Employee 4 - 7030314,Employee 4 - 7030314,Employee 4 - 7030314,Employee 4 - 7030314,Employee 4 - 7030314,,,,,,,,,,,,,,,,
MACADDRESS,Employee 5 - 7030315,,,,,,7030315,Employee 5 - 7030315,7145412253,Employee 5 - 7030315,Employee 5 - 7030315,Employee 5 - 7030315,Employee 5 - 7030315,Employee 5 - 7030315,,,,,,,,,,,,,,,,
MACADDRESS,Employee 6 - 7030316,,,,,,7030316,Employee 6 - 7030316,7145412253,Employee 6 - 7030316,Employee 6 - 7030316,Employee 6 - 7030316,Employee 6 - 7030316,Employee 6 - 7030316,,,,,,,,,,,,,,,,
MACADDRESS,Employee 7 - 7030317,,,,,,7030317,Employee 7 - 7030317,7145412253,Employee 7 - 7030317,Employee 7 - 7030317,Employee 7 - 7030317,Employee 7 - 7030317,Employee 7 - 7030317,,,,,,,,,,,,,,,,
MACADDRESS,Employee 8 - 7030318,,,,,,7030318,Employee 8 - 7030318,7145412253,Employee 8 - 7030318,Employee 8 - 7030318,Employee 8 - 7030318,Employee 8 - 7030318,Employee 8 - 7030318,,,,,,,,,,,,,,,,
MACADDRESS,Employee 9 - 7030319,,,,,,7030319,Employee 9 - 7030319,7145412253,Employee 9 - 7030319,Employee 9 - 7030319,Employee 9 - 7030319,Employee 9 - 7030319,Employee 9 - 7030319,,,,,,,,,,,,,,,,
MACADDRESS,Employee 10 - 7030320,,,,,,7030320,Employee 10 - 7030320,7145412253,Employee 10 - 7030320,Employee 10 - 7030320,Employee 10 - 7030320,Employee 10 - 7030320,Employee 10 - 7030320,,,,,,,,,,,,,,,,
MACADDRESS,Employee 11 - 7030321,,,,,,7030321,Employee 11 - 7030321,7145412253,Employee 11 - 7030321,Employee 11 - 7030321,Employee 11 - 7030321,Employee 11 - 7030321,Employee 11 - 7030321,,,,,,,,,,,,,,,,
MACADDRESS,Employee 12 - 7030322,,,,,,7030322,Employee 12 - 7030322,7145412253,Employee 12 - 7030322,Employee 12 - 7030322,Employee 12 - 7030322,Employee 12 - 7030322,Employee 12 - 7030322,,,,,,,,,,,,,,,,
MACADDRESS,Employee 13 - 7030323,,,,,,7030323,Employee 13 - 7030323,7145412253,Employee 13 - 7030323,Employee 13 - 7030323,Employee 13 - 7030323,Employee 13 - 7030323,Employee 13 - 7030323,,,,,,,,,,,,,,,,
MACADDRESS,Employee 14 - 7030324,,,,,,7030324,Employee 14 - 7030324,7145412253,Employee 14 - 7030324,Employee 14 - 7030324,Employee 14 - 7030324,Employee 14 - 7030324,Employee 14 - 7030324,,,,,,,,,,,,,,,,
MACADDRESS,Employee 15 - 7030325,,,,,,7030325,Employee 15 - 7030325,7145412253,Employee 15 - 7030325,Employee 15 - 7030325,Employee 15 - 7030325,Employee 15 - 7030325,Employee 15 - 7030325,,,,,,,,,,,,,,,,
MACADDRESS,Employee 16 - 7030326,,,,,,7030326,Employee 16 - 7030326,7145412253,Employee 16 - 7030326,Employee 16 - 7030326,Employee 16 - 7030326,Employee 16 - 7030326,Employee 16 - 7030326,,,,,,,,,,,,,,,,
MACADDRESS,Employee 17 - 7030327,,,,,,7030327,Employee 17 - 7030327,7145412253,Employee 17 - 7030327,Employee 17 - 7030327,Employee 17 - 7030327,Employee 17 - 7030327,Employee 17 - 7030327,,,,,,,,,,,,,,,,
MACADDRESS,Employee 18 - 7030328,,,,,,7030328,Employee 18 - 7030328,7145412253,Employee 18 - 7030328,Employee 18 - 7030328,Employee 18 - 7030328,Employee 18 - 7030328,Employee 18 - 7030328,,,,,,,,,,,,,,,,
