Device Name,Description,Device Pool,Phone Button Template,CSS,AAR CSS,Location,Directory Number 1,Line Text Label 1,External Phone Number Mask 1,Line Description 1,Alerting Name 1,ASCII Alerting Name 1,Display 1,ASCII Display 1,Directory Number 2,Line Text Label 2,External Phone Number Mask 2,Line Description 2,Alerting Name 2,ASCII Alerting Name 2,Display 2,ASCII Display 2,Directory Number 3,Line Text Label 3,External Phone Number Mask 3,Line Description 3,Alerting Name 3,ASCII Alerting Name 3,Display 3,ASCII Display 3
MACADDRESS,Manager - 7040400,,,,,,7040400,Manager - 7040400,7148957700,Manager - 7040400,Manager - 7040400,Manager - 7040400,Manager - 7040400,Manager - 7040400,,,,,,,,,,,,,,,,
MACADDRESS,Employee 1 - 7040411,,,,,,7040411,Employee 1 - 7040411,7148957700,Employee 1 - 7040411,Employee 1 - 7040411,Employee 1 - 7040411,Employee 1 - 7040411,Employee 1 - 7040411,,,,,,,,,,,,,,,,
MACADDRESS,Employee 2 - 7040412,,,,,,7040412,Employee 2 - 7040412,7148957700,Employee 2 - 7040412,Employee 2 - 7040412,Employee 2 - 7040412,Employee 2 - 7040412,Employee 2 - 7040412,,,,,,,,,,,,,,,,
MACADDRESS,Employee 3 - 7040413,,,,,,7040413,Employee 3 - 7040413,7148957700,Employee 3 - 7040413,Employee 3 - 7040413,Employee 3 - 7040413,Employee 3 - 7040413,Employee 3 - 7040413,,,,,,,,,,,,,,,,
MACADDRESS,Employee 4 - 7040414,,,,,,7040414,Employee 4 - 7040414,7148957700,Employee 4 - 7040414,Employee 4 - 7040414,Employee 4 - 7040414,Employee 4 - 7040414,Employee 4 - 7040414,,,,,,,,,,,,,,,,
MACADDRESS,Employee 5 - 7040415,,,,,,7040415,Employee 5 - 7040415,7148957700,Employee 5 - 7040415,Employee 5 - 7040415,Employee 5 - 7040415,Employee 5 - 7040415,Employee 5 - 7040415,,,,,,,,,,,,,,,,
MACADDRESS,Employee 6 - 7040416,,,,,,7040416,Employee 6 - 7040416,7148957700,Employee 6 - 7040416,Employee 6 - 7040416,Employee 6 - 7040416,Employee 6 - 7040416,Employee 6 - 7040416,,,,,,,,,,,,,,,,
MACADDRESS,Employee 7 - 7040417,,,,,,7040417,Employee 7 - 7040417,7148957700,Employee 7 - 7040417,Employee 7 - 7040417,Employee 7 - 7040417,Employee 7 - 7040417,Employee 7 - 7040417,,,,,,,,,,,,,,,,
MACADDRESS,Employee 8 - 7040418,,,,,,7040418,Employee 8 - 7040418,7148957700,Employee 8 - 7040418,Employee 8 - 7040418,Employee 8 - 7040418,Employee 8 - 7040418,Employee 8 - 7040418,,,,,,,,,,,,,,,,
MACADDRESS,Employee 9 - 7040419,,,,,,7040419,Employee 9 - 7040419,7148957700,Employee 9 - 7040419,Employee 9 - 7040419,Employee 9 - 7040419,Employee 9 - 7040419,Employee 9 - 7040419,,,,,,,,,,,,,,,,
MACADDRESS,Employee 10 - 7040420,,,,,,7040420,Employee 10 - 7040420,7148957700,Employee 10 - 7040420,Employee 10 - 7040420,Employee 10 - 7040420,Employee 10 - 7040420,Employee 10 - 7040420,,,,,,,,,,,,,,,,
MACADDRESS,Employee 11 - 7040421,,,,,,7040421,Employee 11 - 7040421,7148957700,Employee 11 - 7040421,Employee 11 - 7040421,Employee 11 - 7040421,Employee 11 - 7040421,Employee 11 - 7040421,,,,,,,,,,,,,,,,
MACADDRESS,Employee 12 - 7040422,,,,,,7040422,Employee 12 - 7040422,7148957700,Employee 12 - 7040422,Employee 12 - 7040422,Employee 12 - 7040422,Employee 12 - 7040422,Employee 12 - 7040422,,,,,,,,,,,,,,,,
MACADDRESS,Employee 13 - 7040423,,,,,,7040423,Employee 13 - 7040423,7148957700,Employee 13 - 7040423,Employee 13 - 7040423,Employee 13 - 7040423,Employee 13 - 7040423,Employee 13 - 7040423,,,,,,,,,,,,,,,,
MACADDRESS,Employee 14 - 7040424,,,,,,7040424,Employee 14 - 7040424,7148957700,Employee 14 - 7040424,Employee 14 - 7040424,Employee 14 - 7040424,Employee 14 - 7040424,Employee 14 - 7040424,,,,,,,,,,,,,,,,
MACADDRESS,Employee 15 - 7040425,,,,,,7040425,Employee 15 - 7040425,7148957700,Employee 15 - 7040425,Employee 15 - 7040425,Employee 15 - 7040425,Employee 15 - 7040425,Employee 15 - 7040425,,,,,,,,,,,,,,,,
MACADDRESS,Employee 16 - 7040426,,,,,,7040426,Employee 16 - 7040426,7148957700,Employee 16 - 7040426,Employee 16 - 7040426,Employee 16 - 7040426,Employee 16 - 7040426,Employee 16 - 7040426,,,,,,,,,,,,,,,,
MACADDRESS,Employee 17 - 7040427,,,,,,7040427,Employee 17 - 7040427,7148957700,Employee 17 - 7040427,Employee 17 - 7040427,Employee 17 - 7040427,Employee 17 - 7040427,Employee 17 - 7040427,,,,,,,,,,,,,,,,
MACADDRESS,Employee 18 - 7040428,,,,,,7040428,Employee 18 - 7040428,7148957700,Employee 18 - 7040428,Employee 18 - 7040428,Employee 18 - 7040428,Employee 18 - 7040428,Employee 18 - 7040428,,,,,,,,,,,,,,,,
MACADDRESS,Employee 19 - 7040429,,,,,,7040429,Employee 19 - 7040429,7148957700,Employee 19 - 7040429,Employee 19 - 7040429,Employee 19 - 7040429,Employee 19 - 7040429,Employee 19 - 7040429,,,,,,,,,,,,,,,,
MACADDRESS,Employee 20 - 7040430,,,,,,7040430,Employee 20 - 7040430,7148957700,Employee 20 - 7040430,Employee 20 - 7040430,Employee 20 - 7040430,Employee 20 - 7040430,Employee 20 - 7040430,,,,,,,,,,,,,,,,
MACADDRESS,Employee 21 - 7040431,,,,,,7040431,Employee 21 - 7040431,7148957700,Employee 21 - 7040431,Employee 21 - 7040431,Employee 21 - 7040431,Employee 21 - 7040431,Employee 21 - 7040431,,,,,,,,,,,,,,,,
MACADDRESS,Employee 22 - 7040432,,,,,,7040432,Employee 22 - 7040432,7148957700,Employee 22 - 7040432,Employee 22 - 7040432,Employee 22 - 7040432,Employee 22 - 7040432,Employee 22 - 7040432,,,,,,,,,,,,,,,,
MACADDRESS,Employee 23 - 7040433,,,,,,7040433,Employee 23 - 7040433,7148957700,Employee 23 - 7040433,Employee 23 - 7040433,Employee 23 - 7040433,Employee 23 - 7040433,Employee 23 - 7040433,,,,,,,,,,,,,,,,
MACADDRESS,Employee 24 - 7040434,,,,,,7040434,Employee 24 - 7040434,7148957700,Employee 24 - 7040434,Employee 24 - 7040434,Employee 24 - 7040434,Employee 24 - 7040434,Employee 24 - 7040434,,,,,,,,,,,,,,,,
MACADDRESS,Employee 25 - 7040435,,,,,,7040435,Employee 25 - 7040435,7148957700,Employee 25 - 7040435,Employee 25 - 7040435,Employee 25 - 7040435,Employee 25 - 7040435,Employee 25 - 7040435,,,,,,,,,,,,,,,,
MACADDRESS,Employee 26 - 7040436,,,,,,7040436,Employee 26 - 7040436,7148957700,Employee 26 - 7040436,Employee 26 - 7040436,Employee 26 - 7040436,Employee 26 - 7040436,Employee 26 - 7040436,,,,,,,,,,,,,,,,
MACADDRESS,Employee 27 - 7040437,,,,,,7040437,Employee 27 - 7040437,7148957700,Employee 27 - 7040437,Employee 27 - 7040437,Employee 27 - 7040437,Employee 27 - 7040437,Employee 27 - 7040437,,,,,,,,,,,,,,,,
MACADDRESS,Employee 28 - 7040438,,,,,,7040438,Employee 28 - 7040438,7148957700,Employee 28 - 7040438,Employee 28 - 7040438,Employee 28 - 7040438,Employee 28 - 7040438,Employee 28 - 7040438,,,,,,,,,,,,,,,,
MACADDRESS,Employee 29 - 7040439,,,,,,7040439,Employee 29 - 7040439,7148957700,Employee 29 - 7040439,Employee 29 - 7040439,Employee 29 - 7040439,Employee 29 - 7040439,Employee 29 - 7040439,,,,,,,,,,,,,,,,
MACADDRESS,Employee 30 - 7040440,,,,,,7040440,Employee 30 - 7040440,7148957700,Employee 30 - 7040440,Employee 30 - 7040440,Employee 30 - 7040440,Employee 30 - 7040440,Employee 30 - 7040440,,,,,,,,,,,,,,,,
