Device Name,Description,Device Pool,Phone Button Template,CSS,AAR CSS,Location,Directory Number 1,Line Text Label 1,External Phone Number Mask 1,Line Description 1,Alerting Name 1,ASCII Alerting Name 1,Display 1,ASCII Display 1,Directory Number 2,Line Text Label 2,External Phone Number Mask 2,Line Description 2,Alerting Name 2,ASCII Alerting Name 2,Display 2,ASCII Display 2,Directory Number 3,Line Text Label 3,External Phone Number Mask 3,Line Description 3,Alerting Name 3,ASCII Alerting Name 3,Display 3,ASCII Display 3
MACADDRESS,Manager - 7050500,,,,,,7050500,Manager - 7050500,7146307321,Manager - 7050500,Manager - 7050500,Manager - 7050500,Manager - 7050500,Manager - 7050500,,,,,,,,,,,,,,,,
MACADDRESS,Employee 1 - 7050511,,,,,,7050511,Employee 1 - 7050511,7146307321,Employee 1 - 7050511,Employee 1 - 7050511,Employee 1 - 7050511,Employee 1 - 7050511,Employee 1 - 7050511,,,,,,,,,,,,,,,,
MACADDRESS,Employee 2 - 7050512,,,,,,7050512,Employee 2 - 7050512,7146307321,Employee 2 - 7050512,Employee 2 - 7050512,Employee 2 - 7050512,Employee 2 - 7050512,Employee 2 - 7050512,,,,,,,,,,,,,,,,
MACADDRESS,Employee 3 - 7050513,,,,,,7050513,Employee 3 - 7050513,7146307321,Employee 3 - 7050513,Employee 3 - 7050513,Employee 3 - 7050513,Employee 3 - 7050513,Employee 3 - 7050513,,,,,,,,,,,,,,,,
MACADDRESS,Employee 4 - 7050514,,,,,,7050514,Employee 4 - 7050514,7146307321,Employee 4 - 7050514,Employee 4 - 7050514,Employee 4 - 7050514,Employee 4 - 7050514,Employee 4 - 7050514,,,,,,,,,,,,,,,,
MACADDRESS,Employee 5 - 7050515,,,,,,7050515,Employee 5 - 7050515,7146307321,Employee 5 - 7050515,Employee 5 - 7050515,Employee 5 - 7050515,Employee 5 - 7050515,Employee 5 - 7050515,,,,,,,,,,,,,,,,
MACADDRESS,Employee 6 - 7050516,,,,,,7050516,Employee 6 - 7050516,7146307321,Employee 6 - 7050516,Employee 6 - 7050516,Employee 6 - 7050516,Employee 6 - 7050516,Employee 6 - 7050516,,,,,,,,,,,,,,,,
MACADDRESS,Employee 7 - 7050517,,,,,,7050517,Employee 7 - 7050517,7146307321,Employee 7 - 7050517,Employee 7 - 7050517,Employee 7 - 7050517,Employee 7 - 7050517,Employee 7 - 7050517,,,,,,,,,,,,,,,,
MACADDRESS,Employee 8 - 7050518,,,,,,7050518,Employee 8 - 7050518,7146307321,Employee 8 - 7050518,Employee 8 - 7050518,Employee 8 - 7050518,Employee 8 - 7050518,Employee 8 - 7050518,,,,,,,,,,,,,,,,
MACADDRESS,Employee 9 - 7050519,,,,,,7050519,Employee 9 - 7050519,7146307321,Employee 9 - 7050519,Employee 9 - 7050519,Employee 9 - 7050519,Employee 9 - 7050519,Employee 9 - 7050519,,,,,,,,,,,,,,,,
MACADDRESS,Employee 10 - 7050520,,,,,,7050520,Employee 10 - 7050520,7146307321,Employee 10 - 7050520,Employee 10 - 7050520,Employee 10 - 7050520,Employee 10 - 7050520,Employee 10 - 7050520,,,,,,,,,,,,,,,,
MACADDRESS,Employee 11 - 7050521,,,,,,7050521,Employee 11 - 7050521,7146307321,Employee 11 - 7050521,Employee 11 - 7050521,Employee 11 - 7050521,Employee 11 - 7050521,Employee 11 - 7050521,,,,,,,,,,,,,,,,
MACADDRESS,Employee 12 - 7050522,,,,,,7050522,Employee 12 - 7050522,7146307321,Employee 12 - 7050522,Employee 12 - 7050522,Employee 12 - 7050522,Employee 12 - 7050522,Employee 12 - 7050522,,,,,,,,,,,,,,,,
MACADDRESS,Employee 13 - 7050523,,,,,,7050523,Employee 13 - 7050523,7146307321,Employee 13 - 7050523,Employee 13 - 7050523,Employee 13 - 7050523,Employee 13 - 7050523,Employee 13 - 7050523,,,,,,,,,,,,,,,,
MACADDRESS,Employee 14 - 7050524,,,,,,7050524,Employee 14 - 7050524,7146307321,Employee 14 - 7050524,Employee 14 - 7050524,Employee 14 - 7050524,Employee 14 - 7050524,Employee 14 - 7050524,,,,,,,,,,,,,,,,
