Device Name,Description,Device Pool,Phone Button Template,CSS,AAR CSS,Location,Directory Number 1,Line Text Label 1,External Phone Number Mask 1,Line Description 1,Alerting Name 1,ASCII Alerting Name 1,Display 1,ASCII Display 1,Directory Number 2,Line Text Label 2,External Phone Number Mask 2,Line Description 2,Alerting Name 2,ASCII Alerting Name 2,Display 2,ASCII Display 2,Directory Number 3,Line Text Label 3,External Phone Number Mask 3,Line Description 3,Alerting Name 3,ASCII Alerting Name 3,Display 3,ASCII Display 3
MACADDRESS,Manager - 7060600,,,,,,7060600,Manager - 7060600,3103425730,Manager - 7060600,Manager - 7060600,Manager - 7060600,Manager - 7060600,Manager - 7060600,,,,,,,,,,,,,,,,
MACADDRESS,Employee 1 - 7060611,,,,,,7060611,Employee 1 - 7060611,3103425730,Employee 1 - 7060611,Employee 1 - 7060611,Employee 1 - 7060611,Employee 1 - 7060611,Employee 1 - 7060611,,,,,,,,,,,,,,,,
MACADDRESS,Employee 2 - 7060612,,,,,,7060612,Employee 2 - 7060612,3103425730,Employee 2 - 7060612,Employee 2 - 7060612,Employee 2 - 7060612,Employee 2 - 7060612,Employee 2 - 7060612,,,,,,,,,,,,,,,,
MACADDRESS,Employee 3 - 7060613,,,,,,7060613,Employee 3 - 7060613,3103425730,Employee 3 - 7060613,Employee 3 - 7060613,Employee 3 - 7060613,Employee 3 - 7060613,Employee 3 - 7060613,,,,,,,,,,,,,,,,
MACADDRESS,Employee 4 - 7060614,,,,,,7060614,Employee 4 - 7060614,3103425730,Employee 4 - 7060614,Employee 4 - 7060614,Employee 4 - 7060614,Employee 4 - 7060614,Employee 4 - 7060614,,,,,,,,,,,,,,,,
MACADDRESS,Employee 5 - 7060615,,,,,,7060615,Employee 5 - 7060615,3103425730,Employee 5 - 7060615,Employee 5 - 7060615,Employee 5 - 7060615,Employee 5 - 7060615,Employee 5 - 7060615,,,,,,,,,,,,,,,,
MACADDRESS,Employee 6 - 7060616,,,,,,7060616,Employee 6 - 7060616,3103425730,Employee 6 - 7060616,Employee 6 - 7060616,Employee 6 - 7060616,Employee 6 - 7060616,Employee 6 - 7060616,,,,,,,,,,,,,,,,
MACADDRESS,Employee 7 - 7060617,,,,,,7060617,Employee 7 - 7060617,3103425730,Employee 7 - 7060617,Employee 7 - 7060617,Employee 7 - 7060617,Employee 7 - 7060617,Employee 7 - 7060617,,,,,,,,,,,,,,,,
MACADDRESS,Employee 8 - 7060618,,,,,,7060618,Employee 8 - 7060618,3103425730,Employee 8 - 7060618,Employee 8 - 7060618,Employee 8 - 7060618,Employee 8 - 7060618,Employee 8 - 7060618,,,,,,,,,,,,,,,,
MACADDRESS,Employee 9 - 7060619,,,,,,7060619,Employee 9 - 7060619,3103425730,Employee 9 - 7060619,Employee 9 - 7060619,Employee 9 - 7060619,Employee 9 - 7060619,Employee 9 - 7060619,,,,,,,,,,,,,,,,
MACADDRESS,Employee 10 - 7060620,,,,,,7060620,Employee 10 - 7060620,3103425730,Employee 10 - 7060620,Employee 10 - 7060620,Employee 10 - 7060620,Employee 10 - 7060620,Employee 10 - 7060620,,,,,,,,,,,,,,,,
MACADDRESS,Employee 11 - 7060621,,,,,,7060621,Employee 11 - 7060621,3103425730,Employee 11 - 7060621,Employee 11 - 7060621,Employee 11 - 7060621,Employee 11 - 7060621,Employee 11 - 7060621,,,,,,,,,,,,,,,,
MACADDRESS,Employee 12 - 7060622,,,,,,7060622,Employee 12 - 7060622,3103425730,Employee 12 - 7060622,Employee 12 - 7060622,Employee 12 - 7060622,Employee 12 - 7060622,Employee 12 - 7060622,,,,,,,,,,,,,,,,
MACADDRESS,Employee 13 - 7060623,,,,,,7060623,Employee 13 - 7060623,3103425730,Employee 13 - 7060623,Employee 13 - 7060623,Employee 13 - 7060623,Employee 13 - 7060623,Employee 13 - 7060623,,,,,,,,,,,,,,,,
MACADDRESS,Employee 14 - 7060624,,,,,,7060624,Employee 14 - 7060624,3103425730,Employee 14 - 7060624,Employee 14 - 7060624,Employee 14 - 7060624,Employee 14 - 7060624,Employee 14 - 7060624,,,,,,,,,,,,,,,,
MACADDRESS,Employee 15 - 7060625,,,,,,7060625,Employee 15 - 7060625,3103425730,Employee 15 - 7060625,Employee 15 - 7060625,Employee 15 - 7060625,Employee 15 - 7060625,Employee 15 - 7060625,,,,,,,,,,,,,,,,
MACADDRESS,Employee 16 - 7060626,,,,,,7060626,Employee 16 - 7060626,3103425730,Employee 16 - 7060626,Employee 16 - 7060626,Employee 16 - 7060626,Employee 16 - 7060626,Employee 16 - 7060626,,,,,,,,,,,,,,,,
MACADDRESS,Employee 17 - 7060627,,,,,,7060627,Employee 17 - 7060627,3103425730,Employee 17 - 7060627,Employee 17 - 7060627,Employee 17 - 7060627,Employee 17 - 7060627,Employee 17 - 7060627,,,,,,,,,,,,,,,,
