Device Name,Description,Device Pool,Phone Button Template,CSS,AAR CSS,Location,Directory Number 1,Line Text Label 1,External Phone Number Mask 1,Line Description 1,Alerting Name 1,ASCII Alerting Name 1,Display 1,ASCII Display 1,Directory Number 2,Line Text Label 2,External Phone Number Mask 2,Line Description 2,Alerting Name 2,ASCII Alerting Name 2,Display 2,ASCII Display 2,Directory Number 3,Line Text Label 3,External Phone Number Mask 3,Line Description 3,Alerting Name 3,ASCII Alerting Name 3,Display 3,ASCII Display 3
MACADDRESS,Manager - 7070700,,,,,,7070700,Manager - 7070700,5624047710,Manager - 7070700,Manager - 7070700,Manager - 7070700,Manager - 7070700,Manager - 7070700,,,,,,,,,,,,,,,,
MACADDRESS,Employee 1 - 7070711,,,,,,7070711,Employee 1 - 7070711,5624047710,Employee 1 - 7070711,Employee 1 - 7070711,Employee 1 - 7070711,Employee 1 - 7070711,Employee 1 - 7070711,,,,,,,,,,,,,,,,
MACADDRESS,Employee 2 - 7070712,,,,,,7070712,Employee 2 - 7070712,5624047710,Employee 2 - 7070712,Employee 2 - 7070712,Employee 2 - 7070712,Employee 2 - 7070712,Employee 2 - 7070712,,,,,,,,,,,,,,,,
MACADDRESS,Employee 3 - 7070713,,,,,,7070713,Employee 3 - 7070713,5624047710,Employee 3 - 7070713,Employee 3 - 7070713,Employee 3 - 7070713,Employee 3 - 7070713,Employee 3 - 7070713,,,,,,,,,,,,,,,,
MACADDRESS,Employee 4 - 7070714,,,,,,7070714,Employee 4 - 7070714,5624047710,Employee 4 - 7070714,Employee 4 - 7070714,Employee 4 - 7070714,Employee 4 - 7070714,Employee 4 - 7070714,,,,,,,,,,,,,,,,
MACADDRESS,Employee 5 - 7070715,,,,,,7070715,Employee 5 - 7070715,5624047710,Employee 5 - 7070715,Employee 5 - 7070715,Employee 5 - 7070715,Employee 5 - 7070715,Employee 5 - 7070715,,,,,,,,,,,,,,,,
MACADDRESS,Employee 6 - 7070716,,,,,,7070716,Employee 6 - 7070716,5624047710,Employee 6 - 7070716,Employee 6 - 7070716,Employee 6 - 7070716,Employee 6 - 7070716,Employee 6 - 7070716,,,,,,,,,,,,,,,,
MACADDRESS,Employee 7 - 7070717,,,,,,7070717,Employee 7 - 7070717,5624047710,Employee 7 - 7070717,Employee 7 - 7070717,Employee 7 - 7070717,Employee 7 - 7070717,Employee 7 - 7070717,,,,,,,,,,,,,,,,
MACADDRESS,Employee 8 - 7070718,,,,,,7070718,Employee 8 - 7070718,5624047710,Employee 8 - 7070718,Employee 8 - 7070718,Employee 8 - 7070718,Employee 8 - 7070718,Employee 8 - 7070718,,,,,,,,,,,,,,,,
MACADDRESS,Employee 9 - 7070719,,,,,,7070719,Employee 9 - 7070719,5624047710,Employee 9 - 7070719,Employee 9 - 7070719,Employee 9 - 7070719,Employee 9 - 7070719,Employee 9 - 7070719,,,,,,,,,,,,,,,,
MACADDRESS,Employee 10 - 7070720,,,,,,7070720,Employee 10 - 7070720,5624047710,Employee 10 - 7070720,Employee 10 - 7070720,Employee 10 - 7070720,Employee 10 - 7070720,Employee 10 - 7070720,,,,,,,,,,,,,,,,
MACADDRESS,Employee 11 - 7070721,,,,,,7070721,Employee 11 - 7070721,5624047710,Employee 11 - 7070721,Employee 11 - 7070721,Employee 11 - 7070721,Employee 11 - 7070721,Employee 11 - 7070721,,,,,,,,,,,,,,,,
MACADDRESS,Employee 12 - 7070722,,,,,,7070722,Employee 12 - 7070722,5624047710,Employee 12 - 7070722,Employee 12 - 7070722,Employee 12 - 7070722,Employee 12 - 7070722,Employee 12 - 7070722,,,,,,,,,,,,,,,,
MACADDRESS,Employee 13 - 7070723,,,,,,7070723,Employee 13 - 7070723,5624047710,Employee 13 - 7070723,Employee 13 - 7070723,Employee 13 - 7070723,Employee 13 - 7070723,Employee 13 - 7070723,,,,,,,,,,,,,,,,
MACADDRESS,Employee 14 - 7070724,,,,,,7070724,Employee 14 - 7070724,5624047710,Employee 14 - 7070724,Employee 14 - 7070724,Employee 14 - 7070724,Employee 14 - 7070724,Employee 14 - 7070724,,,,,,,,,,,,,,,,
MACADDRESS,Employee 15 - 7070725,,,,,,7070725,Employee 15 - 7070725,5624047710,Employee 15 - 7070725,Employee 15 - 7070725,Employee 15 - 7070725,Employee 15 - 7070725,Employee 15 - 7070725,,,,,,,,,,,,,,,,
MACADDRESS,Employee 16 - 7070726,,,,,,7070726,Employee 16 - 7070726,5624047710,Employee 16 - 7070726,Employee 16 - 7070726,Employee 16 - 7070726,Employee 16 - 7070726,Employee 16 - 7070726,,,,,,,,,,,,,,,,
MACADDRESS,Employee 17 - 7070727,,,,,,7070727,Employee 17 - 7070727,5624047710,Employee 17 - 7070727,Employee 17 - 7070727,Employee 17 - 7070727,Employee 17 - 7070727,Employee 17 - 7070727,,,,,,,,,,,,,,,,
MACADDRESS,Employee 18 - 7070728,,,,,,7070728,Employee 18 - 7070728,5624047710,Employee 18 - 7070728,Employee 18 - 7070728,Employee 18 - 7070728,Employee 18 - 7070728,Employee 18 - 7070728,,,,,,,,,,,,,,,,
MACADDRESS,Employee 19 - 7070729,,,,,,7070729,Employee 19 - 7070729,5624047710,Employee 19 - 7070729,Employee 19 - 7070729,Employee 19 - 7070729,Employee 19 - 7070729,Employee 19 - 7070729,,,,,,,,,,,,,,,,
MACADDRESS,Employee 20 - 7070730,,,,,,7070730,Employee 20 - 7070730,5624047710,Employee 20 - 7070730,Employee 20 - 7070730,Employee 20 - 7070730,Employee 20 - 7070730,Employee 20 - 7070730,,,,,,,,,,,,,,,,
MACADDRESS,Employee 21 - 7070731,,,,,,7070731,Employee 21 - 7070731,5624047710,Employee 21 - 7070731,Employee 21 - 7070731,Employee 21 - 7070731,Employee 21 - 7070731,Employee 21 - 7070731,,,,,,,,,,,,,,,,
MACADDRESS,Employee 22 - 7070732,,,,,,7070732,Employee 22 - 7070732,5624047710,Employee 22 - 7070732,Employee 22 - 7070732,Employee 22 - 7070732,Employee 22 - 7070732,Employee 22 - 7070732,,,,,,,,,,,,,,,,
