Device Name,Description,Device Pool,Phone Button Template,CSS,AAR CSS,Location,Directory Number 1,Line Text Label 1,External Phone Number Mask 1,Line Description 1,Alerting Name 1,ASCII Alerting Name 1,Display 1,ASCII Display 1,Directory Number 2,Line Text Label 2,External Phone Number Mask 2,Line Description 2,Alerting Name 2,ASCII Alerting Name 2,Display 2,ASCII Display 2,Directory Number 3,Line Text Label 3,External Phone Number Mask 3,Line Description 3,Alerting Name 3,ASCII Alerting Name 3,Display 3,ASCII Display 3
MACADDRESS,Manager - 7080800,,,,,,7080800,Manager - 7080800,7145452022,Manager - 7080800,Manager - 7080800,Manager - 7080800,Manager - 7080800,Manager - 7080800,,,,,,,,,,,,,,,,
MACADDRESS,Employee 1 - 7080811,,,,,,7080811,Employee 1 - 7080811,7145452022,Employee 1 - 7080811,Employee 1 - 7080811,Employee 1 - 7080811,Employee 1 - 7080811,Employee 1 - 7080811,,,,,,,,,,,,,,,,
MACADDRESS,Employee 2 - 7080812,,,,,,7080812,Employee 2 - 7080812,7145452022,Employee 2 - 7080812,Employee 2 - 7080812,Employee 2 - 7080812,Employee 2 - 7080812,Employee 2 - 7080812,,,,,,,,,,,,,,,,
MACADDRESS,Employee 3 - 7080813,,,,,,7080813,Employee 3 - 7080813,7145452022,Employee 3 - 7080813,Employee 3 - 7080813,Employee 3 - 7080813,Employee 3 - 7080813,Employee 3 - 7080813,,,,,,,,,,,,,,,,
MACADDRESS,Employee 4 - 7080814,,,,,,7080814,Employee 4 - 7080814,7145452022,Employee 4 - 7080814,Employee 4 - 7080814,Employee 4 - 7080814,Employee 4 - 7080814,Employee 4 - 7080814,,,,,,,,,,,,,,,,
MACADDRESS,Employee 5 - 7080815,,,,,,7080815,Employee 5 - 7080815,7145452022,Employee 5 - 7080815,Employee 5 - 7080815,Employee 5 - 7080815,Employee 5 - 7080815,Employee 5 - 7080815,,,,,,,,,,,,,,,,
MACADDRESS,Employee 6 - 7080816,,,,,,7080816,Employee 6 - 7080816,7145452022,Employee 6 - 7080816,Employee 6 - 7080816,Employee 6 - 7080816,Employee 6 - 7080816,Employee 6 - 7080816,,,,,,,,,,,,,,,,
MACADDRESS,Employee 7 - 7080817,,,,,,7080817,Employee 7 - 7080817,7145452022,Employee 7 - 7080817,Employee 7 - 7080817,Employee 7 - 7080817,Employee 7 - 7080817,Employee 7 - 7080817,,,,,,,,,,,,,,,,
MACADDRESS,Employee 8 - 7080818,,,,,,7080818,Employee 8 - 7080818,7145452022,Employee 8 - 7080818,Employee 8 - 7080818,Employee 8 - 7080818,Employee 8 - 7080818,Employee 8 - 7080818,,,,,,,,,,,,,,,,
MACADDRESS,Employee 9 - 7080819,,,,,,7080819,Employee 9 - 7080819,7145452022,Employee 9 - 7080819,Employee 9 - 7080819,Employee 9 - 7080819,Employee 9 - 7080819,Employee 9 - 7080819,,,,,,,,,,,,,,,,
MACADDRESS,Employee 10 - 7080820,,,,,,7080820,Employee 10 - 7080820,7145452022,Employee 10 - 7080820,Employee 10 - 7080820,Employee 10 - 7080820,Employee 10 - 7080820,Employee 10 - 7080820,,,,,,,,,,,,,,,,
MACADDRESS,Employee 11 - 7080821,,,,,,7080821,Employee 11 - 7080821,7145452022,Employee 11 - 7080821,Employee 11 - 7080821,Employee 11 - 7080821,Employee 11 - 7080821,Employee 11 - 7080821,,,,,,,,,,,,,,,,
MACADDRESS,Employee 12 - 7080822,,,,,,7080822,Employee 12 - 7080822,7145452022,Employee 12 - 7080822,Employee 12 - 7080822,Employee 12 - 7080822,Employee 12 - 7080822,Employee 12 - 7080822,,,,,,,,,,,,,,,,
MACADDRESS,Employee 13 - 7080823,,,,,,7080823,Employee 13 - 7080823,7145452022,Employee 13 - 7080823,Employee 13 - 7080823,Employee 13 - 7080823,Employee 13 - 7080823,Employee 13 - 7080823,,,,,,,,,,,,,,,,
MACADDRESS,Employee 14 - 7080824,,,,,,7080824,Employee 14 - 7080824,7145452022,Employee 14 - 7080824,Employee 14 - 7080824,Employee 14 - 7080824,Employee 14 - 7080824,Employee 14 - 7080824,,,,,,,,,,,,,,,,
MACADDRESS,Employee 15 - 7080825,,,,,,7080825,Employee 15 - 7080825,7145452022,Employee 15 - 7080825,Employee 15 - 7080825,Employee 15 - 7080825,Employee 15 - 7080825,Employee 15 - 7080825,,,,,,,,,,,,,,,,
MACADDRESS,Employee 16 - 7080826,,,,,,7080826,Employee 16 - 7080826,7145452022,Employee 16 - 7080826,Employee 16 - 7080826,Employee 16 - 7080826,Employee 16 - 7080826,Employee 16 - 7080826,,,,,,,,,,,,,,,,
MACADDRESS,Employee 17 - 7080827,,,,,,7080827,Employee 17 - 7080827,7145452022,Employee 17 - 7080827,Employee 17 - 7080827,Employee 17 - 7080827,Employee 17 - 7080827,Employee 17 - 7080827,,,,,,,,,,,,,,,,
MACADDRESS,Employee 18 - 7080828,,,,,,7080828,Employee 18 - 7080828,7145452022,Employee 18 - 7080828,Employee 18 - 7080828,Employee 18 - 7080828,Employee 18 - 7080828,Employee 18 - 7080828,,,,,,,,,,,,,,,,
MACADDRESS,Employee 19 - 7080829,,,,,,7080829,Employee 19 - 7080829,7145452022,Employee 19 - 7080829,Employee 19 - 7080829,Employee 19 - 7080829,Employee 19 - 7080829,Employee 19 - 7080829,,,,,,,,,,,,,,,,
MACADDRESS,Employee 20 - 7080830,,,,,,7080830,Employee 20 - 7080830,7145452022,Employee 20 - 7080830,Employee 20 - 7080830,Employee 20 - 7080830,Employee 20 - 7080830,Employee 20 - 7080830,,,,,,,,,,,,,,,,
