Device Name,Description,Device Pool,Phone Button Template,CSS,AAR CSS,Location,Directory Number 1,Line Text Label 1,External Phone Number Mask 1,Line Description 1,Alerting Name 1,ASCII Alerting Name 1,Display 1,ASCII Display 1,Directory Number 2,Line Text Label 2,External Phone Number Mask 2,Line Description 2,Alerting Name 2,ASCII Alerting Name 2,Display 2,ASCII Display 2,Directory Number 3,Line Text Label 3,External Phone Number Mask 3,Line Description 3,Alerting Name 3,ASCII Alerting Name 3,Display 3,ASCII Display 3
MACADDRESS,Manager - 7101000,,,,,,7101000,Manager - 7101000,5624362452,Manager - 7101000,Manager - 7101000,Manager - 7101000,Manager - 7101000,Manager - 7101000,,,,,,,,,,,,,,,,
MACADDRESS,Employee 1 - 7101011,,,,,,7101011,Employee 1 - 7101011,5624362452,Employee 1 - 7101011,Employee 1 - 7101011,Employee 1 - 7101011,Employee 1 - 7101011,Employee 1 - 7101011,,,,,,,,,,,,,,,,
MACADDRESS,Employee 2 - 7101012,,,,,,7101012,Employee 2 - 7101012,5624362452,Employee 2 - 7101012,Employee 2 - 7101012,Employee 2 - 7101012,Employee 2 - 7101012,Employee 2 - 7101012,,,,,,,,,,,,,,,,
MACADDRESS,Employee 3 - 7101013,,,,,,7101013,Employee 3 - 7101013,5624362452,Employee 3 - 7101013,Employee 3 - 7101013,Employee 3 - 7101013,Employee 3 - 7101013,Employee 3 - 7101013,,,,,,,,,,,,,,,,
MACADDRESS,Employee 4 - 7101014,,,,,,7101014,Employee 4 - 7101014,5624362452,Employee 4 - 7101014,Employee 4 - 7101014,Employee 4 - 7101014,Employee 4 - 7101014,Employee 4 - 7101014,,,,,,,,,,,,,,,,
MACADDRESS,Employee 5 - 7101015,,,,,,7101015,Employee 5 - 7101015,5624362452,Employee 5 - 7101015,Employee 5 - 7101015,Employee 5 - 7101015,Employee 5 - 7101015,Employee 5 - 7101015,,,,,,,,,,,,,,,,
MACADDRESS,Employee 6 - 7101016,,,,,,7101016,Employee 6 - 7101016,5624362452,Employee 6 - 7101016,Employee 6 - 7101016,Employee 6 - 7101016,Employee 6 - 7101016,Employee 6 - 7101016,,,,,,,,,,,,,,,,
MACADDRESS,Employee 7 - 7101017,,,,,,7101017,Employee 7 - 7101017,5624362452,Employee 7 - 7101017,Employee 7 - 7101017,Employee 7 - 7101017,Employee 7 - 7101017,Employee 7 - 7101017,,,,,,,,,,,,,,,,
MACADDRESS,Employee 8 - 7101018,,,,,,7101018,Employee 8 - 7101018,5624362452,Employee 8 - 7101018,Employee 8 - 7101018,Employee 8 - 7101018,Employee 8 - 7101018,Employee 8 - 7101018,,,,,,,,,,,,,,,,
MACADDRESS,Employee 9 - 7101019,,,,,,7101019,Employee 9 - 7101019,5624362452,Employee 9 - 7101019,Employee 9 - 7101019,Employee 9 - 7101019,Employee 9 - 7101019,Employee 9 - 7101019,,,,,,,,,,,,,,,,
