Device Name,Description,Device Pool,Phone Button Template,CSS,AAR CSS,Location,Directory Number 1,Line Text Label 1,External Phone Number Mask 1,Line Description 1,Alerting Name 1,ASCII Alerting Name 1,Display 1,ASCII Display 1,Directory Number 2,Line Text Label 2,External Phone Number Mask 2,Line Description 2,Alerting Name 2,ASCII Alerting Name 2,Display 2,ASCII Display 2,Directory Number 3,Line Text Label 3,External Phone Number Mask 3,Line Description 3,Alerting Name 3,ASCII Alerting Name 3,Display 3,ASCII Display 3
MACADDRESS,Manager - 7111100,,,,,,7111100,Manager - 7111100,6262896142,Manager - 7111100,Manager - 7111100,Manager - 7111100,Manager - 7111100,Manager - 7111100,,,,,,,,,,,,,,,,
MACADDRESS,Employee 1 - 7111111,,,,,,7111111,Employee 1 - 7111111,6262896142,Employee 1 - 7111111,Employee 1 - 7111111,Employee 1 - 7111111,Employee 1 - 7111111,Employee 1 - 7111111,,,,,,,,,,,,,,,,
MACADDRESS,Employee 2 - 7111112,,,,,,7111112,Employee 2 - 7111112,6262896142,Employee 2 - 7111112,Employee 2 - 7111112,Employee 2 - 7111112,Employee 2 - 7111112,Employee 2 - 7111112,,,,,,,,,,,,,,,,
MACADDRESS,Employee 3 - 7111113,,,,,,7111113,Employee 3 - 7111113,6262896142,Employee 3 - 7111113,Employee 3 - 7111113,Employee 3 - 7111113,Employee 3 - 7111113,Employee 3 - 7111113,,,,,,,,,,,,,,,,
MACADDRESS,Employee 4 - 7111114,,,,,,7111114,Employee 4 - 7111114,6262896142,Employee 4 - 7111114,Employee 4 - 7111114,Employee 4 - 7111114,Employee 4 - 7111114,Employee 4 - 7111114,,,,,,,,,,,,,,,,
MACADDRESS,Employee 5 - 7111115,,,,,,7111115,Employee 5 - 7111115,6262896142,Employee 5 - 7111115,Employee 5 - 7111115,Employee 5 - 7111115,Employee 5 - 7111115,Employee 5 - 7111115,,,,,,,,,,,,,,,,
MACADDRESS,Employee 6 - 7111116,,,,,,7111116,Employee 6 - 7111116,6262896142,Employee 6 - 7111116,Employee 6 - 7111116,Employee 6 - 7111116,Employee 6 - 7111116,Employee 6 - 7111116,,,,,,,,,,,,,,,,
MACADDRESS,Employee 7 - 7111117,,,,,,7111117,Employee 7 - 7111117,6262896142,Employee 7 - 7111117,Employee 7 - 7111117,Employee 7 - 7111117,Employee 7 - 7111117,Employee 7 - 7111117,,,,,,,,,,,,,,,,
MACADDRESS,Employee 8 - 7111118,,,,,,7111118,Employee 8 - 7111118,6262896142,Employee 8 - 7111118,Employee 8 - 7111118,Employee 8 - 7111118,Employee 8 - 7111118,Employee 8 - 7111118,,,,,,,,,,,,,,,,
MACADDRESS,Employee 9 - 7111119,,,,,,7111119,Employee 9 - 7111119,6262896142,Employee 9 - 7111119,Employee 9 - 7111119,Employee 9 - 7111119,Employee 9 - 7111119,Employee 9 - 7111119,,,,,,,,,,,,,,,,
MACADDRESS,Employee 10 - 7111120,,,,,,7111120,Employee 10 - 7111120,6262896142,Employee 10 - 7111120,Employee 10 - 7111120,Employee 10 - 7111120,Employee 10 - 7111120,Employee 10 - 7111120,,,,,,,,,,,,,,,,
MACADDRESS,Employee 11 - 7111121,,,,,,7111121,Employee 11 - 7111121,6262896142,Employee 11 - 7111121,Employee 11 - 7111121,Employee 11 - 7111121,Employee 11 - 7111121,Employee 11 - 7111121,,,,,,,,,,,,,,,,
MACADDRESS,Employee 12 - 7111122,,,,,,7111122,Employee 12 - 7111122,6262896142,Employee 12 - 7111122,Employee 12 - 7111122,Employee 12 - 7111122,Employee 12 - 7111122,Employee 12 - 7111122,,,,,,,,,,,,,,,,
MACADDRESS,Employee 13 - 7111123,,,,,,7111123,Employee 13 - 7111123,6262896142,Employee 13 - 7111123,Employee 13 - 7111123,Employee 13 - 7111123,Employee 13 - 7111123,Employee 13 - 7111123,,,,,,,,,,,,,,,,
MACADDRESS,Employee 14 - 7111124,,,,,,7111124,Employee 14 - 7111124,6262896142,Employee 14 - 7111124,Employee 14 - 7111124,Employee 14 - 7111124,Employee 14 - 7111124,Employee 14 - 7111124,,,,,,,,,,,,,,,,
MACADDRESS,Employee 15 - 7111125,,,,,,7111125,Employee 15 - 7111125,6262896142,Employee 15 - 7111125,Employee 15 - 7111125,Employee 15 - 7111125,Employee 15 - 7111125,Employee 15 - 7111125,,,,,,,,,,,,,,,,
MACADDRESS,Employee 16 - 7111126,,,,,,7111126,Employee 16 - 7111126,6262896142,Employee 16 - 7111126,Employee 16 - 7111126,Employee 16 - 7111126,Employee 16 - 7111126,Employee 16 - 7111126,,,,,,,,,,,,,,,,
MACADDRESS,Employee 17 - 7111127,,,,,,7111127,Employee 17 - 7111127,6262896142,Employee 17 - 7111127,Employee 17 - 7111127,Employee 17 - 7111127,Employee 17 - 7111127,Employee 17 - 7111127,,,,,,,,,,,,,,,,
MACADDRESS,Employee 18 - 7111128,,,,,,7111128,Employee 18 - 7111128,6262896142,Employee 18 - 7111128,Employee 18 - 7111128,Employee 18 - 7111128,Employee 18 - 7111128,Employee 18 - 7111128,,,,,,,,,,,,,,,,
