Device Name,Description,Device Pool,Phone Button Template,CSS,AAR CSS,Location,Directory Number 1,Line Text Label 1,External Phone Number Mask 1,Line Description 1,Alerting Name 1,ASCII Alerting Name 1,Display 1,ASCII Display 1,Directory Number 2,Line Text Label 2,External Phone Number Mask 2,Line Description 2,Alerting Name 2,ASCII Alerting Name 2,Display 2,ASCII Display 2,Directory Number 3,Line Text Label 3,External Phone Number Mask 3,Line Description 3,Alerting Name 3,ASCII Alerting Name 3,Display 3,ASCII Display 3
MACADDRESS,Manager - 7131300,,,,,,7131300,Manager - 7131300,9497681275,Manager - 7131300,Manager - 7131300,Manager - 7131300,Manager - 7131300,Manager - 7131300,,,,,,,,,,,,,,,,
MACADDRESS,Employee 1 - 7131311,,,,,,7131311,Employee 1 - 7131311,9497681275,Employee 1 - 7131311,Employee 1 - 7131311,Employee 1 - 7131311,Employee 1 - 7131311,Employee 1 - 7131311,,,,,,,,,,,,,,,,
MACADDRESS,Employee 2 - 7131312,,,,,,7131312,Employee 2 - 7131312,9497681275,Employee 2 - 7131312,Employee 2 - 7131312,Employee 2 - 7131312,Employee 2 - 7131312,Employee 2 - 7131312,,,,,,,,,,,,,,,,
MACADDRESS,Employee 3 - 7131313,,,,,,7131313,Employee 3 - 7131313,9497681275,Employee 3 - 7131313,Employee 3 - 7131313,Employee 3 - 7131313,Employee 3 - 7131313,Employee 3 - 7131313,,,,,,,,,,,,,,,,
MACADDRESS,Employee 4 - 7131314,,,,,,7131314,Employee 4 - 7131314,9497681275,Employee 4 - 7131314,Employee 4 - 7131314,Employee 4 - 7131314,Employee 4 - 7131314,Employee 4 - 7131314,,,,,,,,,,,,,,,,
MACADDRESS,Employee 5 - 7131315,,,,,,7131315,Employee 5 - 7131315,9497681275,Employee 5 - 7131315,Employee 5 - 7131315,Employee 5 - 7131315,Employee 5 - 7131315,Employee 5 - 7131315,,,,,,,,,,,,,,,,
MACADDRESS,Employee 6 - 7131316,,,,,,7131316,Employee 6 - 7131316,9497681275,Employee 6 - 7131316,Employee 6 - 7131316,Employee 6 - 7131316,Employee 6 - 7131316,Employee 6 - 7131316,,,,,,,,,,,,,,,,
MACADDRESS,Employee 7 - 7131317,,,,,,7131317,Employee 7 - 7131317,9497681275,Employee 7 - 7131317,Employee 7 - 7131317,Employee 7 - 7131317,Employee 7 - 7131317,Employee 7 - 7131317,,,,,,,,,,,,,,,,
MACADDRESS,Employee 8 - 7131318,,,,,,7131318,Employee 8 - 7131318,9497681275,Employee 8 - 7131318,Employee 8 - 7131318,Employee 8 - 7131318,Employee 8 - 7131318,Employee 8 - 7131318,,,,,,,,,,,,,,,,
MACADDRESS,Employee 9 - 7131319,,,,,,7131319,Employee 9 - 7131319,9497681275,Employee 9 - 7131319,Employee 9 - 7131319,Employee 9 - 7131319,Employee 9 - 7131319,Employee 9 - 7131319,,,,,,,,,,,,,,,,
MACADDRESS,Employee 10 - 7131320,,,,,,7131320,Employee 10 - 7131320,9497681275,Employee 10 - 7131320,Employee 10 - 7131320,Employee 10 - 7131320,Employee 10 - 7131320,Employee 10 - 7131320,,,,,,,,,,,,,,,,
MACADDRESS,Employee 11 - 7131321,,,,,,7131321,Employee 11 - 7131321,9497681275,Employee 11 - 7131321,Employee 11 - 7131321,Employee 11 - 7131321,Employee 11 - 7131321,Employee 11 - 7131321,,,,,,,,,,,,,,,,
MACADDRESS,Employee 12 - 7131322,,,,,,7131322,Employee 12 - 7131322,9497681275,Employee 12 - 7131322,Employee 12 - 7131322,Employee 12 - 7131322,Employee 12 - 7131322,Employee 12 - 7131322,,,,,,,,,,,,,,,,
MACADDRESS,Employee 13 - 7131323,,,,,,7131323,Employee 13 - 7131323,9497681275,Employee 13 - 7131323,Employee 13 - 7131323,Employee 13 - 7131323,Employee 13 - 7131323,Employee 13 - 7131323,,,,,,,,,,,,,,,,
MACADDRESS,Employee 14 - 7131324,,,,,,7131324,Employee 14 - 7131324,9497681275,Employee 14 - 7131324,Employee 14 - 7131324,Employee 14 - 7131324,Employee 14 - 7131324,Employee 14 - 7131324,,,,,,,,,,,,,,,,
MACADDRESS,Employee 15 - 7131325,,,,,,7131325,Employee 15 - 7131325,9497681275,Employee 15 - 7131325,Employee 15 - 7131325,Employee 15 - 7131325,Employee 15 - 7131325,Employee 15 - 7131325,,,,,,,,,,,,,,,,
MACADDRESS,Employee 16 - 7131326,,,,,,7131326,Employee 16 - 7131326,9497681275,Employee 16 - 7131326,Employee 16 - 7131326,Employee 16 - 7131326,Employee 16 - 7131326,Employee 16 - 7131326,,,,,,,,,,,,,,,,
MACADDRESS,Employee 17 - 7131327,,,,,,7131327,Employee 17 - 7131327,9497681275,Employee 17 - 7131327,Employee 17 - 7131327,Employee 17 - 7131327,Employee 17 - 7131327,Employee 17 - 7131327,,,,,,,,,,,,,,,,
MACADDRESS,Employee 18 - 7131328,,,,,,7131328,Employee 18 - 7131328,9497681275,Employee 18 - 7131328,Employee 18 - 7131328,Employee 18 - 7131328,Employee 18 - 7131328,Employee 18 - 7131328,,,,,,,,,,,,,,,,
MACADDRESS,Employee 19 - 7131329,,,,,,7131329,Employee 19 - 7131329,9497681275,Employee 19 - 7131329,Employee 19 - 7131329,Employee 19 - 7131329,Employee 19 - 7131329,Employee 19 - 7131329,,,,,,,,,,,,,,,,
MACADDRESS,Employee 20 - 7131330,,,,,,7131330,Employee 20 - 7131330,9497681275,Employee 20 - 7131330,Employee 20 - 7131330,Employee 20 - 7131330,Employee 20 - 7131330,Employee 20 - 7131330,,,,,,,,,,,,,,,,
