Device Name,Description,Device Pool,Phone Button Template,CSS,AAR CSS,Location,Directory Number 1,Line Text Label 1,External Phone Number Mask 1,Line Description 1,Alerting Name 1,ASCII Alerting Name 1,Display 1,ASCII Display 1,Directory Number 2,Line Text Label 2,External Phone Number Mask 2,Line Description 2,Alerting Name 2,ASCII Alerting Name 2,Display 2,ASCII Display 2,Directory Number 3,Line Text Label 3,External Phone Number Mask 3,Line Description 3,Alerting Name 3,ASCII Alerting Name 3,Display 3,ASCII Display 3
MACADDRESS,Manager - 7141400,,,,,,7141400,Manager - 7141400,9516800210,Manager - 7141400,Manager - 7141400,Manager - 7141400,Manager - 7141400,Manager - 7141400,,,,,,,,,,,,,,,,
MACADDRESS,Employee 1 - 7141411,,,,,,7141411,Employee 1 - 7141411,9516800210,Employee 1 - 7141411,Employee 1 - 7141411,Employee 1 - 7141411,Employee 1 - 7141411,Employee 1 - 7141411,,,,,,,,,,,,,,,,
MACADDRESS,Employee 2 - 7141412,,,,,,7141412,Employee 2 - 7141412,9516800210,Employee 2 - 7141412,Employee 2 - 7141412,Employee 2 - 7141412,Employee 2 - 7141412,Employee 2 - 7141412,,,,,,,,,,,,,,,,
MACADDRESS,Employee 3 - 7141413,,,,,,7141413,Employee 3 - 7141413,9516800210,Employee 3 - 7141413,Employee 3 - 7141413,Employee 3 - 7141413,Employee 3 - 7141413,Employee 3 - 7141413,,,,,,,,,,,,,,,,
MACADDRESS,Employee 4 - 7141414,,,,,,7141414,Employee 4 - 7141414,9516800210,Employee 4 - 7141414,Employee 4 - 7141414,Employee 4 - 7141414,Employee 4 - 7141414,Employee 4 - 7141414,,,,,,,,,,,,,,,,
MACADDRESS,Employee 5 - 7141415,,,,,,7141415,Employee 5 - 7141415,9516800210,Employee 5 - 7141415,Employee 5 - 7141415,Employee 5 - 7141415,Employee 5 - 7141415,Employee 5 - 7141415,,,,,,,,,,,,,,,,
MACADDRESS,Employee 6 - 7141416,,,,,,7141416,Employee 6 - 7141416,9516800210,Employee 6 - 7141416,Employee 6 - 7141416,Employee 6 - 7141416,Employee 6 - 7141416,Employee 6 - 7141416,,,,,,,,,,,,,,,,
MACADDRESS,Employee 7 - 7141417,,,,,,7141417,Employee 7 - 7141417,9516800210,Employee 7 - 7141417,Employee 7 - 7141417,Employee 7 - 7141417,Employee 7 - 7141417,Employee 7 - 7141417,,,,,,,,,,,,,,,,
MACADDRESS,Employee 8 - 7141418,,,,,,7141418,Employee 8 - 7141418,9516800210,Employee 8 - 7141418,Employee 8 - 7141418,Employee 8 - 7141418,Employee 8 - 7141418,Employee 8 - 7141418,,,,,,,,,,,,,,,,
MACADDRESS,Employee 9 - 7141419,,,,,,7141419,Employee 9 - 7141419,9516800210,Employee 9 - 7141419,Employee 9 - 7141419,Employee 9 - 7141419,Employee 9 - 7141419,Employee 9 - 7141419,,,,,,,,,,,,,,,,
