Device Name,Description,Device Pool,Phone Button Template,CSS,AAR CSS,Location,Directory Number 1,Line Text Label 1,External Phone Number Mask 1,Line Description 1,Alerting Name 1,ASCII Alerting Name 1,Display 1,ASCII Display 1,Directory Number 2,Line Text Label 2,External Phone Number Mask 2,Line Description 2,Alerting Name 2,ASCII Alerting Name 2,Display 2,ASCII Display 2,Directory Number 3,Line Text Label 3,External Phone Number Mask 3,Line Description 3,Alerting Name 3,ASCII Alerting Name 3,Display 3,ASCII Display 3
MACADDRESS,Manager - 7161600,,,,,,7161600,Manager - 7161600,5629490215,Manager - 7161600,Manager - 7161600,Manager - 7161600,Manager - 7161600,Manager - 7161600,,,,,,,,,,,,,,,,
MACADDRESS,Employee 1 - 7161611,,,,,,7161611,Employee 1 - 7161611,5629490215,Employee 1 - 7161611,Employee 1 - 7161611,Employee 1 - 7161611,Employee 1 - 7161611,Employee 1 - 7161611,,,,,,,,,,,,,,,,
MACADDRESS,Employee 2 - 7161612,,,,,,7161612,Employee 2 - 7161612,5629490215,Employee 2 - 7161612,Employee 2 - 7161612,Employee 2 - 7161612,Employee 2 - 7161612,Employee 2 - 7161612,,,,,,,,,,,,,,,,
MACADDRESS,Employee 3 - 7161613,,,,,,7161613,Employee 3 - 7161613,5629490215,Employee 3 - 7161613,Employee 3 - 7161613,Employee 3 - 7161613,Employee 3 - 7161613,Employee 3 - 7161613,,,,,,,,,,,,,,,,
MACADDRESS,Employee 4 - 7161614,,,,,,7161614,Employee 4 - 7161614,5629490215,Employee 4 - 7161614,Employee 4 - 7161614,Employee 4 - 7161614,Employee 4 - 7161614,Employee 4 - 7161614,,,,,,,,,,,,,,,,
MACADDRESS,Employee 5 - 7161615,,,,,,7161615,Employee 5 - 7161615,5629490215,Employee 5 - 7161615,Employee 5 - 7161615,Employee 5 - 7161615,Employee 5 - 7161615,Employee 5 - 7161615,,,,,,,,,,,,,,,,
MACADDRESS,Employee 6 - 7161616,,,,,,7161616,Employee 6 - 7161616,5629490215,Employee 6 - 7161616,Employee 6 - 7161616,Employee 6 - 7161616,Employee 6 - 7161616,Employee 6 - 7161616,,,,,,,,,,,,,,,,
MACADDRESS,Employee 7 - 7161617,,,,,,7161617,Employee 7 - 7161617,5629490215,Employee 7 - 7161617,Employee 7 - 7161617,Employee 7 - 7161617,Employee 7 - 7161617,Employee 7 - 7161617,,,,,,,,,,,,,,,,
MACADDRESS,Employee 8 - 7161618,,,,,,7161618,Employee 8 - 7161618,5629490215,Employee 8 - 7161618,Employee 8 - 7161618,Employee 8 - 7161618,Employee 8 - 7161618,Employee 8 - 7161618,,,,,,,,,,,,,,,,
MACADDRESS,Employee 9 - 7161619,,,,,,7161619,Employee 9 - 7161619,5629490215,Employee 9 - 7161619,Employee 9 - 7161619,Employee 9 - 7161619,Employee 9 - 7161619,Employee 9 - 7161619,,,,,,,,,,,,,,,,
MACADDRESS,Employee 10 - 7161620,,,,,,7161620,Employee 10 - 7161620,5629490215,Employee 10 - 7161620,Employee 10 - 7161620,Employee 10 - 7161620,Employee 10 - 7161620,Employee 10 - 7161620,,,,,,,,,,,,,,,,
MACADDRESS,Employee 11 - 7161621,,,,,,7161621,Employee 11 - 7161621,5629490215,Employee 11 - 7161621,Employee 11 - 7161621,Employee 11 - 7161621,Employee 11 - 7161621,Employee 11 - 7161621,,,,,,,,,,,,,,,,
MACADDRESS,Employee 12 - 7161622,,,,,,7161622,Employee 12 - 7161622,5629490215,Employee 12 - 7161622,Employee 12 - 7161622,Employee 12 - 7161622,Employee 12 - 7161622,Employee 12 - 7161622,,,,,,,,,,,,,,,,
MACADDRESS,Employee 13 - 7161623,,,,,,7161623,Employee 13 - 7161623,5629490215,Employee 13 - 7161623,Employee 13 - 7161623,Employee 13 - 7161623,Employee 13 - 7161623,Employee 13 - 7161623,,,,,,,,,,,,,,,,
MACADDRESS,Employee 14 - 7161624,,,,,,7161624,Employee 14 - 7161624,5629490215,Employee 14 - 7161624,Employee 14 - 7161624,Employee 14 - 7161624,Employee 14 - 7161624,Employee 14 - 7161624,,,,,,,,,,,,,,,,
MACADDRESS,Employee 15 - 7161625,,,,,,7161625,Employee 15 - 7161625,5629490215,Employee 15 - 7161625,Employee 15 - 7161625,Employee 15 - 7161625,Employee 15 - 7161625,Employee 15 - 7161625,,,,,,,,,,,,,,,,
