Device Name,Description,Device Pool,Phone Button Template,CSS,AAR CSS,Location,Directory Number 1,Line Text Label 1,External Phone Number Mask 1,Line Description 1,Alerting Name 1,ASCII Alerting Name 1,Display 1,ASCII Display 1,Directory Number 2,Line Text Label 2,External Phone Number Mask 2,Line Description 2,Alerting Name 2,ASCII Alerting Name 2,Display 2,ASCII Display 2,Directory Number 3,Line Text Label 3,External Phone Number Mask 3,Line Description 3,Alerting Name 3,ASCII Alerting Name 3,Display 3,ASCII Display 3
MACADDRESS,Manager - 7171700,,,,,,7171700,Manager - 7171700,9099897058,Manager - 7171700,Manager - 7171700,Manager - 7171700,Manager - 7171700,Manager - 7171700,,,,,,,,,,,,,,,,
MACADDRESS,Employee 1 - 7171711,,,,,,7171711,Employee 1 - 7171711,9099897058,Employee 1 - 7171711,Employee 1 - 7171711,Employee 1 - 7171711,Employee 1 - 7171711,Employee 1 - 7171711,,,,,,,,,,,,,,,,
MACADDRESS,Employee 2 - 7171712,,,,,,7171712,Employee 2 - 7171712,9099897058,Employee 2 - 7171712,Employee 2 - 7171712,Employee 2 - 7171712,Employee 2 - 7171712,Employee 2 - 7171712,,,,,,,,,,,,,,,,
MACADDRESS,Employee 3 - 7171713,,,,,,7171713,Employee 3 - 7171713,9099897058,Employee 3 - 7171713,Employee 3 - 7171713,Employee 3 - 7171713,Employee 3 - 7171713,Employee 3 - 7171713,,,,,,,,,,,,,,,,
MACADDRESS,Employee 4 - 7171714,,,,,,7171714,Employee 4 - 7171714,9099897058,Employee 4 - 7171714,Employee 4 - 7171714,Employee 4 - 7171714,Employee 4 - 7171714,Employee 4 - 7171714,,,,,,,,,,,,,,,,
MACADDRESS,Employee 5 - 7171715,,,,,,7171715,Employee 5 - 7171715,9099897058,Employee 5 - 7171715,Employee 5 - 7171715,Employee 5 - 7171715,Employee 5 - 7171715,Employee 5 - 7171715,,,,,,,,,,,,,,,,
MACADDRESS,Employee 6 - 7171716,,,,,,7171716,Employee 6 - 7171716,9099897058,Employee 6 - 7171716,Employee 6 - 7171716,Employee 6 - 7171716,Employee 6 - 7171716,Employee 6 - 7171716,,,,,,,,,,,,,,,,
MACADDRESS,Employee 7 - 7171717,,,,,,7171717,Employee 7 - 7171717,9099897058,Employee 7 - 7171717,Employee 7 - 7171717,Employee 7 - 7171717,Employee 7 - 7171717,Employee 7 - 7171717,,,,,,,,,,,,,,,,
MACADDRESS,Employee 8 - 7171718,,,,,,7171718,Employee 8 - 7171718,9099897058,Employee 8 - 7171718,Employee 8 - 7171718,Employee 8 - 7171718,Employee 8 - 7171718,Employee 8 - 7171718,,,,,,,,,,,,,,,,
MACADDRESS,Employee 9 - 7171719,,,,,,7171719,Employee 9 - 7171719,9099897058,Employee 9 - 7171719,Employee 9 - 7171719,Employee 9 - 7171719,Employee 9 - 7171719,Employee 9 - 7171719,,,,,,,,,,,,,,,,
MACADDRESS,Employee 10 - 7171720,,,,,,7171720,Employee 10 - 7171720,9099897058,Employee 10 - 7171720,Employee 10 - 7171720,Employee 10 - 7171720,Employee 10 - 7171720,Employee 10 - 7171720,,,,,,,,,,,,,,,,
MACADDRESS,Employee 11 - 7171721,,,,,,7171721,Employee 11 - 7171721,9099897058,Employee 11 - 7171721,Employee 11 - 7171721,Employee 11 - 7171721,Employee 11 - 7171721,Employee 11 - 7171721,,,,,,,,,,,,,,,,
MACADDRESS,Employee 12 - 7171722,,,,,,7171722,Employee 12 - 7171722,9099897058,Employee 12 - 7171722,Employee 12 - 7171722,Employee 12 - 7171722,Employee 12 - 7171722,Employee 12 - 7171722,,,,,,,,,,,,,,,,
MACADDRESS,Employee 13 - 7171723,,,,,,7171723,Employee 13 - 7171723,9099897058,Employee 13 - 7171723,Employee 13 - 7171723,Employee 13 - 7171723,Employee 13 - 7171723,Employee 13 - 7171723,,,,,,,,,,,,,,,,
MACADDRESS,Employee 14 - 7171724,,,,,,7171724,Employee 14 - 7171724,9099897058,Employee 14 - 7171724,Employee 14 - 7171724,Employee 14 - 7171724,Employee 14 - 7171724,Employee 14 - 7171724,,,,,,,,,,,,,,,,
MACADDRESS,Employee 15 - 7171725,,,,,,7171725,Employee 15 - 7171725,9099897058,Employee 15 - 7171725,Employee 15 - 7171725,Employee 15 - 7171725,Employee 15 - 7171725,Employee 15 - 7171725,,,,,,,,,,,,,,,,
MACADDRESS,Employee 16 - 7171726,,,,,,7171726,Employee 16 - 7171726,9099897058,Employee 16 - 7171726,Employee 16 - 7171726,Employee 16 - 7171726,Employee 16 - 7171726,Employee 16 - 7171726,,,,,,,,,,,,,,,,
MACADDRESS,Employee 17 - 7171727,,,,,,7171727,Employee 17 - 7171727,9099897058,Employee 17 - 7171727,Employee 17 - 7171727,Employee 17 - 7171727,Employee 17 - 7171727,Employee 17 - 7171727,,,,,,,,,,,,,,,,
MACADDRESS,Employee 18 - 7171728,,,,,,7171728,Employee 18 - 7171728,9099897058,Employee 18 - 7171728,Employee 18 - 7171728,Employee 18 - 7171728,Employee 18 - 7171728,Employee 18 - 7171728,,,,,,,,,,,,,,,,
