Device Name,Description,Device Pool,Phone Button Template,CSS,AAR CSS,Location,Directory Number 1,Line Text Label 1,External Phone Number Mask 1,Line Description 1,Alerting Name 1,ASCII Alerting Name 1,Display 1,ASCII Display 1,Directory Number 2,Line Text Label 2,External Phone Number Mask 2,Line Description 2,Alerting Name 2,ASCII Alerting Name 2,Display 2,ASCII Display 2,Directory Number 3,Line Text Label 3,External Phone Number Mask 3,Line Description 3,Alerting Name 3,ASCII Alerting Name 3,Display 3,ASCII Display 3
MACADDRESS,Manager - 7191900,,,,,,7191900,Manager - 7191900,7602693030,Manager - 7191900,Manager - 7191900,Manager - 7191900,Manager - 7191900,Manager - 7191900,,,,,,,,,,,,,,,,
MACADDRESS,Employee 1 - 7191911,,,,,,7191911,Employee 1 - 7191911,7602693030,Employee 1 - 7191911,Employee 1 - 7191911,Employee 1 - 7191911,Employee 1 - 7191911,Employee 1 - 7191911,,,,,,,,,,,,,,,,
MACADDRESS,Employee 2 - 7191912,,,,,,7191912,Employee 2 - 7191912,7602693030,Employee 2 - 7191912,Employee 2 - 7191912,Employee 2 - 7191912,Employee 2 - 7191912,Employee 2 - 7191912,,,,,,,,,,,,,,,,
MACADDRESS,Employee 3 - 7191913,,,,,,7191913,Employee 3 - 7191913,7602693030,Employee 3 - 7191913,Employee 3 - 7191913,Employee 3 - 7191913,Employee 3 - 7191913,Employee 3 - 7191913,,,,,,,,,,,,,,,,
MACADDRESS,Employee 4 - 7191914,,,,,,7191914,Employee 4 - 7191914,7602693030,Employee 4 - 7191914,Employee 4 - 7191914,Employee 4 - 7191914,Employee 4 - 7191914,Employee 4 - 7191914,,,,,,,,,,,,,,,,
MACADDRESS,Employee 5 - 7191915,,,,,,7191915,Employee 5 - 7191915,7602693030,Employee 5 - 7191915,Employee 5 - 7191915,Employee 5 - 7191915,Employee 5 - 7191915,Employee 5 - 7191915,,,,,,,,,,,,,,,,
MACADDRESS,Employee 6 - 7191916,,,,,,7191916,Employee 6 - 7191916,7602693030,Employee 6 - 7191916,Employee 6 - 7191916,Employee 6 - 7191916,Employee 6 - 7191916,Employee 6 - 7191916,,,,,,,,,,,,,,,,
MACADDRESS,Employee 7 - 7191917,,,,,,7191917,Employee 7 - 7191917,7602693030,Employee 7 - 7191917,Employee 7 - 7191917,Employee 7 - 7191917,Employee 7 - 7191917,Employee 7 - 7191917,,,,,,,,,,,,,,,,
MACADDRESS,Employee 8 - 7191918,,,,,,7191918,Employee 8 - 7191918,7602693030,Employee 8 - 7191918,Employee 8 - 7191918,Employee 8 - 7191918,Employee 8 - 7191918,Employee 8 - 7191918,,,,,,,,,,,,,,,,
MACADDRESS,Employee 9 - 7191919,,,,,,7191919,Employee 9 - 7191919,7602693030,Employee 9 - 7191919,Employee 9 - 7191919,Employee 9 - 7191919,Employee 9 - 7191919,Employee 9 - 7191919,,,,,,,,,,,,,,,,
MACADDRESS,Employee 10 - 7191920,,,,,,7191920,Employee 10 - 7191920,7602693030,Employee 10 - 7191920,Employee 10 - 7191920,Employee 10 - 7191920,Employee 10 - 7191920,Employee 10 - 7191920,,,,,,,,,,,,,,,,
MACADDRESS,Employee 11 - 7191921,,,,,,7191921,Employee 11 - 7191921,7602693030,Employee 11 - 7191921,Employee 11 - 7191921,Employee 11 - 7191921,Employee 11 - 7191921,Employee 11 - 7191921,,,,,,,,,,,,,,,,
MACADDRESS,Employee 12 - 7191922,,,,,,7191922,Employee 12 - 7191922,7602693030,Employee 12 - 7191922,Employee 12 - 7191922,Employee 12 - 7191922,Employee 12 - 7191922,Employee 12 - 7191922,,,,,,,,,,,,,,,,
