Device Name,Description,Device Pool,Phone Button Template,CSS,AAR CSS,Location,Directory Number 1,Line Text Label 1,External Phone Number Mask 1,Line Description 1,Alerting Name 1,ASCII Alerting Name 1,Display 1,ASCII Display 1,Directory Number 2,Line Text Label 2,External Phone Number Mask 2,Line Description 2,Alerting Name 2,ASCII Alerting Name 2,Display 2,ASCII Display 2,Directory Number 3,Line Text Label 3,External Phone Number Mask 3,Line Description 3,Alerting Name 3,ASCII Alerting Name 3,Display 3,ASCII Display 3
MACADDRESS,Manager - 7232300,,,,,,7232300,Manager - 7232300,9094500840,Manager - 7232300,Manager - 7232300,Manager - 7232300,Manager - 7232300,Manager - 7232300,,,,,,,,,,,,,,,,
MACADDRESS,Employee 1 - 7232311,,,,,,7232311,Employee 1 - 7232311,9094500840,Employee 1 - 7232311,Employee 1 - 7232311,Employee 1 - 7232311,Employee 1 - 7232311,Employee 1 - 7232311,,,,,,,,,,,,,,,,
MACADDRESS,Employee 2 - 7232312,,,,,,7232312,Employee 2 - 7232312,9094500840,Employee 2 - 7232312,Employee 2 - 7232312,Employee 2 - 7232312,Employee 2 - 7232312,Employee 2 - 7232312,,,,,,,,,,,,,,,,
MACADDRESS,Employee 3 - 7232313,,,,,,7232313,Employee 3 - 7232313,9094500840,Employee 3 - 7232313,Employee 3 - 7232313,Employee 3 - 7232313,Employee 3 - 7232313,Employee 3 - 7232313,,,,,,,,,,,,,,,,
MACADDRESS,Employee 4 - 7232314,,,,,,7232314,Employee 4 - 7232314,9094500840,Employee 4 - 7232314,Employee 4 - 7232314,Employee 4 - 7232314,Employee 4 - 7232314,Employee 4 - 7232314,,,,,,,,,,,,,,,,
MACADDRESS,Employee 5 - 7232315,,,,,,7232315,Employee 5 - 7232315,9094500840,Employee 5 - 7232315,Employee 5 - 7232315,Employee 5 - 7232315,Employee 5 - 7232315,Employee 5 - 7232315,,,,,,,,,,,,,,,,
MACADDRESS,Employee 6 - 7232316,,,,,,7232316,Employee 6 - 7232316,9094500840,Employee 6 - 7232316,Employee 6 - 7232316,Employee 6 - 7232316,Employee 6 - 7232316,Employee 6 - 7232316,,,,,,,,,,,,,,,,
MACADDRESS,Employee 7 - 7232317,,,,,,7232317,Employee 7 - 7232317,9094500840,Employee 7 - 7232317,Employee 7 - 7232317,Employee 7 - 7232317,Employee 7 - 7232317,Employee 7 - 7232317,,,,,,,,,,,,,,,,
MACADDRESS,Employee 8 - 7232318,,,,,,7232318,Employee 8 - 7232318,9094500840,Employee 8 - 7232318,Employee 8 - 7232318,Employee 8 - 7232318,Employee 8 - 7232318,Employee 8 - 7232318,,,,,,,,,,,,,,,,
MACADDRESS,Employee 9 - 7232319,,,,,,7232319,Employee 9 - 7232319,9094500840,Employee 9 - 7232319,Employee 9 - 7232319,Employee 9 - 7232319,Employee 9 - 7232319,Employee 9 - 7232319,,,,,,,,,,,,,,,,
MACADDRESS,Employee 10 - 7232320,,,,,,7232320,Employee 10 - 7232320,9094500840,Employee 10 - 7232320,Employee 10 - 7232320,Employee 10 - 7232320,Employee 10 - 7232320,Employee 10 - 7232320,,,,,,,,,,,,,,,,
MACADDRESS,Employee 11 - 7232321,,,,,,7232321,Employee 11 - 7232321,9094500840,Employee 11 - 7232321,Employee 11 - 7232321,Employee 11 - 7232321,Employee 11 - 7232321,Employee 11 - 7232321,,,,,,,,,,,,,,,,
MACADDRESS,Employee 12 - 7232322,,,,,,7232322,Employee 12 - 7232322,9094500840,Employee 12 - 7232322,Employee 12 - 7232322,Employee 12 - 7232322,Employee 12 - 7232322,Employee 12 - 7232322,,,,,,,,,,,,,,,,
MACADDRESS,Employee 13 - 7232323,,,,,,7232323,Employee 13 - 7232323,9094500840,Employee 13 - 7232323,Employee 13 - 7232323,Employee 13 - 7232323,Employee 13 - 7232323,Employee 13 - 7232323,,,,,,,,,,,,,,,,
MACADDRESS,Employee 14 - 7232324,,,,,,7232324,Employee 14 - 7232324,9094500840,Employee 14 - 7232324,Employee 14 - 7232324,Employee 14 - 7232324,Employee 14 - 7232324,Employee 14 - 7232324,,,,,,,,,,,,,,,,
MACADDRESS,Employee 15 - 7232325,,,,,,7232325,Employee 15 - 7232325,9094500840,Employee 15 - 7232325,Employee 15 - 7232325,Employee 15 - 7232325,Employee 15 - 7232325,Employee 15 - 7232325,,,,,,,,,,,,,,,,
MACADDRESS,Employee 16 - 7232326,,,,,,7232326,Employee 16 - 7232326,9094500840,Employee 16 - 7232326,Employee 16 - 7232326,Employee 16 - 7232326,Employee 16 - 7232326,Employee 16 - 7232326,,,,,,,,,,,,,,,,
MACADDRESS,Employee 17 - 7232327,,,,,,7232327,Employee 17 - 7232327,9094500840,Employee 17 - 7232327,Employee 17 - 7232327,Employee 17 - 7232327,Employee 17 - 7232327,Employee 17 - 7232327,,,,,,,,,,,,,,,,
MACADDRESS,Employee 18 - 7232328,,,,,,7232328,Employee 18 - 7232328,9094500840,Employee 18 - 7232328,Employee 18 - 7232328,Employee 18 - 7232328,Employee 18 - 7232328,Employee 18 - 7232328,,,,,,,,,,,,,,,,
