Device Name,Description,Device Pool,Phone Button Template,CSS,AAR CSS,Location,Directory Number 1,Line Text Label 1,External Phone Number Mask 1,Line Description 1,Alerting Name 1,ASCII Alerting Name 1,Display 1,ASCII Display 1,Directory Number 2,Line Text Label 2,External Phone Number Mask 2,Line Description 2,Alerting Name 2,ASCII Alerting Name 2,Display 2,ASCII Display 2,Directory Number 3,Line Text Label 3,External Phone Number Mask 3,Line Description 3,Alerting Name 3,ASCII Alerting Name 3,Display 3,ASCII Display 3
MACADDRESS,Manager - 7313100,,,,,,7313100,Manager - 7313100,9512718200,Manager - 7313100,Manager - 7313100,Manager - 7313100,Manager - 7313100,Manager - 7313100,,,,,,,,,,,,,,,,
MACADDRESS,Employee 1 - 7313111,,,,,,7313111,Employee 1 - 7313111,9512718200,Employee 1 - 7313111,Employee 1 - 7313111,Employee 1 - 7313111,Employee 1 - 7313111,Employee 1 - 7313111,,,,,,,,,,,,,,,,
MACADDRESS,Employee 2 - 7313112,,,,,,7313112,Employee 2 - 7313112,9512718200,Employee 2 - 7313112,Employee 2 - 7313112,Employee 2 - 7313112,Employee 2 - 7313112,Employee 2 - 7313112,,,,,,,,,,,,,,,,
MACADDRESS,Employee 3 - 7313113,,,,,,7313113,Employee 3 - 7313113,9512718200,Employee 3 - 7313113,Employee 3 - 7313113,Employee 3 - 7313113,Employee 3 - 7313113,Employee 3 - 7313113,,,,,,,,,,,,,,,,
MACADDRESS,Employee 4 - 7313114,,,,,,7313114,Employee 4 - 7313114,9512718200,Employee 4 - 7313114,Employee 4 - 7313114,Employee 4 - 7313114,Employee 4 - 7313114,Employee 4 - 7313114,,,,,,,,,,,,,,,,
MACADDRESS,Employee 5 - 7313115,,,,,,7313115,Employee 5 - 7313115,9512718200,Employee 5 - 7313115,Employee 5 - 7313115,Employee 5 - 7313115,Employee 5 - 7313115,Employee 5 - 7313115,,,,,,,,,,,,,,,,
MACADDRESS,Employee 6 - 7313116,,,,,,7313116,Employee 6 - 7313116,9512718200,Employee 6 - 7313116,Employee 6 - 7313116,Employee 6 - 7313116,Employee 6 - 7313116,Employee 6 - 7313116,,,,,,,,,,,,,,,,
MACADDRESS,Employee 7 - 7313117,,,,,,7313117,Employee 7 - 7313117,9512718200,Employee 7 - 7313117,Employee 7 - 7313117,Employee 7 - 7313117,Employee 7 - 7313117,Employee 7 - 7313117,,,,,,,,,,,,,,,,
MACADDRESS,Employee 8 - 7313118,,,,,,7313118,Employee 8 - 7313118,9512718200,Employee 8 - 7313118,Employee 8 - 7313118,Employee 8 - 7313118,Employee 8 - 7313118,Employee 8 - 7313118,,,,,,,,,,,,,,,,
MACADDRESS,Employee 9 - 7313119,,,,,,7313119,Employee 9 - 7313119,9512718200,Employee 9 - 7313119,Employee 9 - 7313119,Employee 9 - 7313119,Employee 9 - 7313119,Employee 9 - 7313119,,,,,,,,,,,,,,,,
MACADDRESS,Employee 10 - 7313120,,,,,,7313120,Employee 10 - 7313120,9512718200,Employee 10 - 7313120,Employee 10 - 7313120,Employee 10 - 7313120,Employee 10 - 7313120,Employee 10 - 7313120,,,,,,,,,,,,,,,,
MACADDRESS,Employee 11 - 7313121,,,,,,7313121,Employee 11 - 7313121,9512718200,Employee 11 - 7313121,Employee 11 - 7313121,Employee 11 - 7313121,Employee 11 - 7313121,Employee 11 - 7313121,,,,,,,,,,,,,,,,
MACADDRESS,Employee 12 - 7313122,,,,,,7313122,Employee 12 - 7313122,9512718200,Employee 12 - 7313122,Employee 12 - 7313122,Employee 12 - 7313122,Employee 12 - 7313122,Employee 12 - 7313122,,,,,,,,,,,,,,,,
MACADDRESS,Employee 13 - 7313123,,,,,,7313123,Employee 13 - 7313123,9512718200,Employee 13 - 7313123,Employee 13 - 7313123,Employee 13 - 7313123,Employee 13 - 7313123,Employee 13 - 7313123,,,,,,,,,,,,,,,,
MACADDRESS,Employee 14 - 7313124,,,,,,7313124,Employee 14 - 7313124,9512718200,Employee 14 - 7313124,Employee 14 - 7313124,Employee 14 - 7313124,Employee 14 - 7313124,Employee 14 - 7313124,,,,,,,,,,,,,,,,
MACADDRESS,Employee 15 - 7313125,,,,,,7313125,Employee 15 - 7313125,9512718200,Employee 15 - 7313125,Employee 15 - 7313125,Employee 15 - 7313125,Employee 15 - 7313125,Employee 15 - 7313125,,,,,,,,,,,,,,,,
MACADDRESS,Employee 16 - 7313126,,,,,,7313126,Employee 16 - 7313126,9512718200,Employee 16 - 7313126,Employee 16 - 7313126,Employee 16 - 7313126,Employee 16 - 7313126,Employee 16 - 7313126,,,,,,,,,,,,,,,,
MACADDRESS,Employee 17 - 7313127,,,,,,7313127,Employee 17 - 7313127,9512718200,Employee 17 - 7313127,Employee 17 - 7313127,Employee 17 - 7313127,Employee 17 - 7313127,Employee 17 - 7313127,,,,,,,,,,,,,,,,
MACADDRESS,Employee 18 - 7313128,,,,,,7313128,Employee 18 - 7313128,9512718200,Employee 18 - 7313128,Employee 18 - 7313128,Employee 18 - 7313128,Employee 18 - 7313128,Employee 18 - 7313128,,,,,,,,,,,,,,,,
MACADDRESS,Employee 19 - 7313129,,,,,,7313129,Employee 19 - 7313129,9512718200,Employee 19 - 7313129,Employee 19 - 7313129,Employee 19 - 7313129,Employee 19 - 7313129,Employee 19 - 7313129,,,,,,,,,,,,,,,,
MACADDRESS,Employee 20 - 7313130,,,,,,7313130,Employee 20 - 7313130,9512718200,Employee 20 - 7313130,Employee 20 - 7313130,Employee 20 - 7313130,Employee 20 - 7313130,Employee 20 - 7313130,,,,,,,,,,,,,,,,
