Device Name,Description,Device Pool,Phone Button Template,CSS,AAR CSS,Location,Directory Number 1,Line Text Label 1,External Phone Number Mask 1,Line Description 1,Alerting Name 1,ASCII Alerting Name 1,Display 1,ASCII Display 1,Directory Number 2,Line Text Label 2,External Phone Number Mask 2,Line Description 2,Alerting Name 2,ASCII Alerting Name 2,Display 2,ASCII Display 2,Directory Number 3,Line Text Label 3,External Phone Number Mask 3,Line Description 3,Alerting Name 3,ASCII Alerting Name 3,Display 3,ASCII Display 3
MACADDRESS,Manager - 7323200,,,,,,7323200,Manager - 7323200,8584375700,Manager - 7323200,Manager - 7323200,Manager - 7323200,Manager - 7323200,Manager - 7323200,,,,,,,,,,,,,,,,
MACADDRESS,Employee 1 - 7323211,,,,,,7323211,Employee 1 - 7323211,8584375700,Employee 1 - 7323211,Employee 1 - 7323211,Employee 1 - 7323211,Employee 1 - 7323211,Employee 1 - 7323211,,,,,,,,,,,,,,,,
MACADDRESS,Employee 2 - 7323212,,,,,,7323212,Employee 2 - 7323212,8584375700,Employee 2 - 7323212,Employee 2 - 7323212,Employee 2 - 7323212,Employee 2 - 7323212,Employee 2 - 7323212,,,,,,,,,,,,,,,,
MACADDRESS,Employee 3 - 7323213,,,,,,7323213,Employee 3 - 7323213,8584375700,Employee 3 - 7323213,Employee 3 - 7323213,Employee 3 - 7323213,Employee 3 - 7323213,Employee 3 - 7323213,,,,,,,,,,,,,,,,
MACADDRESS,Employee 4 - 7323214,,,,,,7323214,Employee 4 - 7323214,8584375700,Employee 4 - 7323214,Employee 4 - 7323214,Employee 4 - 7323214,Employee 4 - 7323214,Employee 4 - 7323214,,,,,,,,,,,,,,,,
MACADDRESS,Employee 5 - 7323215,,,,,,7323215,Employee 5 - 7323215,8584375700,Employee 5 - 7323215,Employee 5 - 7323215,Employee 5 - 7323215,Employee 5 - 7323215,Employee 5 - 7323215,,,,,,,,,,,,,,,,
MACADDRESS,Employee 6 - 7323216,,,,,,7323216,Employee 6 - 7323216,8584375700,Employee 6 - 7323216,Employee 6 - 7323216,Employee 6 - 7323216,Employee 6 - 7323216,Employee 6 - 7323216,,,,,,,,,,,,,,,,
MACADDRESS,Employee 7 - 7323217,,,,,,7323217,Employee 7 - 7323217,8584375700,Employee 7 - 7323217,Employee 7 - 7323217,Employee 7 - 7323217,Employee 7 - 7323217,Employee 7 - 7323217,,,,,,,,,,,,,,,,
MACADDRESS,Employee 8 - 7323218,,,,,,7323218,Employee 8 - 7323218,8584375700,Employee 8 - 7323218,Employee 8 - 7323218,Employee 8 - 7323218,Employee 8 - 7323218,Employee 8 - 7323218,,,,,,,,,,,,,,,,
MACADDRESS,Employee 9 - 7323219,,,,,,7323219,Employee 9 - 7323219,8584375700,Employee 9 - 7323219,Employee 9 - 7323219,Employee 9 - 7323219,Employee 9 - 7323219,Employee 9 - 7323219,,,,,,,,,,,,,,,,
MACADDRESS,Employee 10 - 7323220,,,,,,7323220,Employee 10 - 7323220,8584375700,Employee 10 - 7323220,Employee 10 - 7323220,Employee 10 - 7323220,Employee 10 - 7323220,Employee 10 - 7323220,,,,,,,,,,,,,,,,
MACADDRESS,Employee 11 - 7323221,,,,,,7323221,Employee 11 - 7323221,8584375700,Employee 11 - 7323221,Employee 11 - 7323221,Employee 11 - 7323221,Employee 11 - 7323221,Employee 11 - 7323221,,,,,,,,,,,,,,,,
MACADDRESS,Employee 12 - 7323222,,,,,,7323222,Employee 12 - 7323222,8584375700,Employee 12 - 7323222,Employee 12 - 7323222,Employee 12 - 7323222,Employee 12 - 7323222,Employee 12 - 7323222,,,,,,,,,,,,,,,,
MACADDRESS,Employee 13 - 7323223,,,,,,7323223,Employee 13 - 7323223,8584375700,Employee 13 - 7323223,Employee 13 - 7323223,Employee 13 - 7323223,Employee 13 - 7323223,Employee 13 - 7323223,,,,,,,,,,,,,,,,
MACADDRESS,Employee 14 - 7323224,,,,,,7323224,Employee 14 - 7323224,8584375700,Employee 14 - 7323224,Employee 14 - 7323224,Employee 14 - 7323224,Employee 14 - 7323224,Employee 14 - 7323224,,,,,,,,,,,,,,,,
