Device Name,Description,Device Pool,Phone Button Template,CSS,AAR CSS,Location,Directory Number 1,Line Text Label 1,External Phone Number Mask 1,Line Description 1,Alerting Name 1,ASCII Alerting Name 1,Display 1,ASCII Display 1,Directory Number 2,Line Text Label 2,External Phone Number Mask 2,Line Description 2,Alerting Name 2,ASCII Alerting Name 2,Display 2,ASCII Display 2,Directory Number 3,Line Text Label 3,External Phone Number Mask 3,Line Description 3,Alerting Name 3,ASCII Alerting Name 3,Display 3,ASCII Display 3
MACADDRESS,Manager - 7333300,,,,,,7333300,Manager - 7333300,8182642400,Manager - 7333300,Manager - 7333300,Manager - 7333300,Manager - 7333300,Manager - 7333300,,,,,,,,,,,,,,,,
MACADDRESS,Employee 1 - 7333311,,,,,,7333311,Employee 1 - 7333311,8182642400,Employee 1 - 7333311,Employee 1 - 7333311,Employee 1 - 7333311,Employee 1 - 7333311,Employee 1 - 7333311,,,,,,,,,,,,,,,,
MACADDRESS,Employee 2 - 7333312,,,,,,7333312,Employee 2 - 7333312,8182642400,Employee 2 - 7333312,Employee 2 - 7333312,Employee 2 - 7333312,Employee 2 - 7333312,Employee 2 - 7333312,,,,,,,,,,,,,,,,
MACADDRESS,Employee 3 - 7333313,,,,,,7333313,Employee 3 - 7333313,8182642400,Employee 3 - 7333313,Employee 3 - 7333313,Employee 3 - 7333313,Employee 3 - 7333313,Employee 3 - 7333313,,,,,,,,,,,,,,,,
MACADDRESS,Employee 4 - 7333314,,,,,,7333314,Employee 4 - 7333314,8182642400,Employee 4 - 7333314,Employee 4 - 7333314,Employee 4 - 7333314,Employee 4 - 7333314,Employee 4 - 7333314,,,,,,,,,,,,,,,,
MACADDRESS,Employee 5 - 7333315,,,,,,7333315,Employee 5 - 7333315,8182642400,Employee 5 - 7333315,Employee 5 - 7333315,Employee 5 - 7333315,Employee 5 - 7333315,Employee 5 - 7333315,,,,,,,,,,,,,,,,
MACADDRESS,Employee 6 - 7333316,,,,,,7333316,Employee 6 - 7333316,8182642400,Employee 6 - 7333316,Employee 6 - 7333316,Employee 6 - 7333316,Employee 6 - 7333316,Employee 6 - 7333316,,,,,,,,,,,,,,,,
MACADDRESS,Employee 7 - 7333317,,,,,,7333317,Employee 7 - 7333317,8182642400,Employee 7 - 7333317,Employee 7 - 7333317,Employee 7 - 7333317,Employee 7 - 7333317,Employee 7 - 7333317,,,,,,,,,,,,,,,,
MACADDRESS,Employee 8 - 7333318,,,,,,7333318,Employee 8 - 7333318,8182642400,Employee 8 - 7333318,Employee 8 - 7333318,Employee 8 - 7333318,Employee 8 - 7333318,Employee 8 - 7333318,,,,,,,,,,,,,,,,
MACADDRESS,Employee 9 - 7333319,,,,,,7333319,Employee 9 - 7333319,8182642400,Employee 9 - 7333319,Employee 9 - 7333319,Employee 9 - 7333319,Employee 9 - 7333319,Employee 9 - 7333319,,,,,,,,,,,,,,,,
MACADDRESS,Employee 10 - 7333320,,,,,,7333320,Employee 10 - 7333320,8182642400,Employee 10 - 7333320,Employee 10 - 7333320,Employee 10 - 7333320,Employee 10 - 7333320,Employee 10 - 7333320,,,,,,,,,,,,,,,,
MACADDRESS,Employee 11 - 7333321,,,,,,7333321,Employee 11 - 7333321,8182642400,Employee 11 - 7333321,Employee 11 - 7333321,Employee 11 - 7333321,Employee 11 - 7333321,Employee 11 - 7333321,,,,,,,,,,,,,,,,
MACADDRESS,Employee 12 - 7333322,,,,,,7333322,Employee 12 - 7333322,8182642400,Employee 12 - 7333322,Employee 12 - 7333322,Employee 12 - 7333322,Employee 12 - 7333322,Employee 12 - 7333322,,,,,,,,,,,,,,,,
MACADDRESS,Employee 13 - 7333323,,,,,,7333323,Employee 13 - 7333323,8182642400,Employee 13 - 7333323,Employee 13 - 7333323,Employee 13 - 7333323,Employee 13 - 7333323,Employee 13 - 7333323,,,,,,,,,,,,,,,,
MACADDRESS,Employee 14 - 7333324,,,,,,7333324,Employee 14 - 7333324,8182642400,Employee 14 - 7333324,Employee 14 - 7333324,Employee 14 - 7333324,Employee 14 - 7333324,Employee 14 - 7333324,,,,,,,,,,,,,,,,
MACADDRESS,Employee 15 - 7333325,,,,,,7333325,Employee 15 - 7333325,8182642400,Employee 15 - 7333325,Employee 15 - 7333325,Employee 15 - 7333325,Employee 15 - 7333325,Employee 15 - 7333325,,,,,,,,,,,,,,,,
MACADDRESS,Employee 16 - 7333326,,,,,,7333326,Employee 16 - 7333326,8182642400,Employee 16 - 7333326,Employee 16 - 7333326,Employee 16 - 7333326,Employee 16 - 7333326,Employee 16 - 7333326,,,,,,,,,,,,,,,,
MACADDRESS,Employee 17 - 7333327,,,,,,7333327,Employee 17 - 7333327,8182642400,Employee 17 - 7333327,Employee 17 - 7333327,Employee 17 - 7333327,Employee 17 - 7333327,Employee 17 - 7333327,,,,,,,,,,,,,,,,
MACADDRESS,Employee 18 - 7333328,,,,,,7333328,Employee 18 - 7333328,8182642400,Employee 18 - 7333328,Employee 18 - 7333328,Employee 18 - 7333328,Employee 18 - 7333328,Employee 18 - 7333328,,,,,,,,,,,,,,,,
