Device Name,Description,Device Pool,Phone Button Template,CSS,AAR CSS,Location,Directory Number 1,Line Text Label 1,External Phone Number Mask 1,Line Description 1,Alerting Name 1,ASCII Alerting Name 1,Display 1,ASCII Display 1,Directory Number 2,Line Text Label 2,External Phone Number Mask 2,Line Description 2,Alerting Name 2,ASCII Alerting Name 2,Display 2,ASCII Display 2,Directory Number 3,Line Text Label 3,External Phone Number Mask 3,Line Description 3,Alerting Name 3,ASCII Alerting Name 3,Display 3,ASCII Display 3
MACADDRESS,Manager - 7353500,,,,,,7353500,Manager - 7353500,7603454727,Manager - 7353500,Manager - 7353500,Manager - 7353500,Manager - 7353500,Manager - 7353500,,,,,,,,,,,,,,,,
MACADDRESS,Employee 1 - 7353511,,,,,,7353511,Employee 1 - 7353511,7603454727,Employee 1 - 7353511,Employee 1 - 7353511,Employee 1 - 7353511,Employee 1 - 7353511,Employee 1 - 7353511,,,,,,,,,,,,,,,,
MACADDRESS,Employee 2 - 7353512,,,,,,7353512,Employee 2 - 7353512,7603454727,Employee 2 - 7353512,Employee 2 - 7353512,Employee 2 - 7353512,Employee 2 - 7353512,Employee 2 - 7353512,,,,,,,,,,,,,,,,
MACADDRESS,Employee 3 - 7353513,,,,,,7353513,Employee 3 - 7353513,7603454727,Employee 3 - 7353513,Employee 3 - 7353513,Employee 3 - 7353513,Employee 3 - 7353513,Employee 3 - 7353513,,,,,,,,,,,,,,,,
MACADDRESS,Employee 4 - 7353514,,,,,,7353514,Employee 4 - 7353514,7603454727,Employee 4 - 7353514,Employee 4 - 7353514,Employee 4 - 7353514,Employee 4 - 7353514,Employee 4 - 7353514,,,,,,,,,,,,,,,,
MACADDRESS,Employee 5 - 7353515,,,,,,7353515,Employee 5 - 7353515,7603454727,Employee 5 - 7353515,Employee 5 - 7353515,Employee 5 - 7353515,Employee 5 - 7353515,Employee 5 - 7353515,,,,,,,,,,,,,,,,
MACADDRESS,Employee 6 - 7353516,,,,,,7353516,Employee 6 - 7353516,7603454727,Employee 6 - 7353516,Employee 6 - 7353516,Employee 6 - 7353516,Employee 6 - 7353516,Employee 6 - 7353516,,,,,,,,,,,,,,,,
MACADDRESS,Employee 7 - 7353517,,,,,,7353517,Employee 7 - 7353517,7603454727,Employee 7 - 7353517,Employee 7 - 7353517,Employee 7 - 7353517,Employee 7 - 7353517,Employee 7 - 7353517,,,,,,,,,,,,,,,,
MACADDRESS,Employee 8 - 7353518,,,,,,7353518,Employee 8 - 7353518,7603454727,Employee 8 - 7353518,Employee 8 - 7353518,Employee 8 - 7353518,Employee 8 - 7353518,Employee 8 - 7353518,,,,,,,,,,,,,,,,
MACADDRESS,Employee 9 - 7353519,,,,,,7353519,Employee 9 - 7353519,7603454727,Employee 9 - 7353519,Employee 9 - 7353519,Employee 9 - 7353519,Employee 9 - 7353519,Employee 9 - 7353519,,,,,,,,,,,,,,,,
MACADDRESS,Employee 10 - 7353520,,,,,,7353520,Employee 10 - 7353520,7603454727,Employee 10 - 7353520,Employee 10 - 7353520,Employee 10 - 7353520,Employee 10 - 7353520,Employee 10 - 7353520,,,,,,,,,,,,,,,,
