Device Name,Description,Device Pool,Phone Button Template,CSS,AAR CSS,Location,Directory Number 1,Line Text Label 1,External Phone Number Mask 1,Line Description 1,Alerting Name 1,ASCII Alerting Name 1,Display 1,ASCII Display 1,Directory Number 2,Line Text Label 2,External Phone Number Mask 2,Line Description 2,Alerting Name 2,ASCII Alerting Name 2,Display 2,ASCII Display 2,Directory Number 3,Line Text Label 3,External Phone Number Mask 3,Line Description 3,Alerting Name 3,ASCII Alerting Name 3,Display 3,ASCII Display 3
MACADDRESS,Manager - 7373700,,,,,,7373700,Manager - 7373700,9519437708,Manager - 7373700,Manager - 7373700,Manager - 7373700,Manager - 7373700,Manager - 7373700,,,,,,,,,,,,,,,,
MACADDRESS,Employee 1 - 7373711,,,,,,7373711,Employee 1 - 7373711,9519437708,Employee 1 - 7373711,Employee 1 - 7373711,Employee 1 - 7373711,Employee 1 - 7373711,Employee 1 - 7373711,,,,,,,,,,,,,,,,
MACADDRESS,Employee 2 - 7373712,,,,,,7373712,Employee 2 - 7373712,9519437708,Employee 2 - 7373712,Employee 2 - 7373712,Employee 2 - 7373712,Employee 2 - 7373712,Employee 2 - 7373712,,,,,,,,,,,,,,,,
MACADDRESS,Employee 3 - 7373713,,,,,,7373713,Employee 3 - 7373713,9519437708,Employee 3 - 7373713,Employee 3 - 7373713,Employee 3 - 7373713,Employee 3 - 7373713,Employee 3 - 7373713,,,,,,,,,,,,,,,,
MACADDRESS,Employee 4 - 7373714,,,,,,7373714,Employee 4 - 7373714,9519437708,Employee 4 - 7373714,Employee 4 - 7373714,Employee 4 - 7373714,Employee 4 - 7373714,Employee 4 - 7373714,,,,,,,,,,,,,,,,
MACADDRESS,Employee 5 - 7373715,,,,,,7373715,Employee 5 - 7373715,9519437708,Employee 5 - 7373715,Employee 5 - 7373715,Employee 5 - 7373715,Employee 5 - 7373715,Employee 5 - 7373715,,,,,,,,,,,,,,,,
MACADDRESS,Employee 6 - 7373716,,,,,,7373716,Employee 6 - 7373716,9519437708,Employee 6 - 7373716,Employee 6 - 7373716,Employee 6 - 7373716,Employee 6 - 7373716,Employee 6 - 7373716,,,,,,,,,,,,,,,,
MACADDRESS,Employee 7 - 7373717,,,,,,7373717,Employee 7 - 7373717,9519437708,Employee 7 - 7373717,Employee 7 - 7373717,Employee 7 - 7373717,Employee 7 - 7373717,Employee 7 - 7373717,,,,,,,,,,,,,,,,
MACADDRESS,Employee 8 - 7373718,,,,,,7373718,Employee 8 - 7373718,9519437708,Employee 8 - 7373718,Employee 8 - 7373718,Employee 8 - 7373718,Employee 8 - 7373718,Employee 8 - 7373718,,,,,,,,,,,,,,,,
MACADDRESS,Employee 9 - 7373719,,,,,,7373719,Employee 9 - 7373719,9519437708,Employee 9 - 7373719,Employee 9 - 7373719,Employee 9 - 7373719,Employee 9 - 7373719,Employee 9 - 7373719,,,,,,,,,,,,,,,,
MACADDRESS,Employee 10 - 7373720,,,,,,7373720,Employee 10 - 7373720,9519437708,Employee 10 - 7373720,Employee 10 - 7373720,Employee 10 - 7373720,Employee 10 - 7373720,Employee 10 - 7373720,,,,,,,,,,,,,,,,
