Device Name,Description,Device Pool,Phone Button Template,CSS,AAR CSS,Location,Directory Number 1,Line Text Label 1,External Phone Number Mask 1,Line Description 1,Alerting Name 1,ASCII Alerting Name 1,Display 1,ASCII Display 1,Directory Number 2,Line Text Label 2,External Phone Number Mask 2,Line Description 2,Alerting Name 2,ASCII Alerting Name 2,Display 2,ASCII Display 2,Directory Number 3,Line Text Label 3,External Phone Number Mask 3,Line Description 3,Alerting Name 3,ASCII Alerting Name 3,Display 3,ASCII Display 3
MACADDRESS,Manager - 7272700,,,,,,7272700,Manager - 7272700,8183519100,Manager - 7272700,Manager - 7272700,Manager - 7272700,Manager - 7272700,Manager - 7272700,,,,,,,,,,,,,,,,
MACADDRESS,Employee 1 - 7272711,,,,,,7272711,Employee 1 - 7272711,8183519100,Employee 1 - 7272711,Employee 1 - 7272711,Employee 1 - 7272711,Employee 1 - 7272711,Employee 1 - 7272711,,,,,,,,,,,,,,,,
MACADDRESS,Employee 2 - 7272712,,,,,,7272712,Employee 2 - 7272712,8183519100,Employee 2 - 7272712,Employee 2 - 7272712,Employee 2 - 7272712,Employee 2 - 7272712,Employee 2 - 7272712,,,,,,,,,,,,,,,,
MACADDRESS,Employee 3 - 7272713,,,,,,7272713,Employee 3 - 7272713,8183519100,Employee 3 - 7272713,Employee 3 - 7272713,Employee 3 - 7272713,Employee 3 - 7272713,Employee 3 - 7272713,,,,,,,,,,,,,,,,
MACADDRESS,Employee 4 - 7272714,,,,,,7272714,Employee 4 - 7272714,8183519100,Employee 4 - 7272714,Employee 4 - 7272714,Employee 4 - 7272714,Employee 4 - 7272714,Employee 4 - 7272714,,,,,,,,,,,,,,,,
MACADDRESS,Employee 5 - 7272715,,,,,,7272715,Employee 5 - 7272715,8183519100,Employee 5 - 7272715,Employee 5 - 7272715,Employee 5 - 7272715,Employee 5 - 7272715,Employee 5 - 7272715,,,,,,,,,,,,,,,,
MACADDRESS,Employee 6 - 7272716,,,,,,7272716,Employee 6 - 7272716,8183519100,Employee 6 - 7272716,Employee 6 - 7272716,Employee 6 - 7272716,Employee 6 - 7272716,Employee 6 - 7272716,,,,,,,,,,,,,,,,
MACADDRESS,Employee 7 - 7272717,,,,,,7272717,Employee 7 - 7272717,8183519100,Employee 7 - 7272717,Employee 7 - 7272717,Employee 7 - 7272717,Employee 7 - 7272717,Employee 7 - 7272717,,,,,,,,,,,,,,,,
MACADDRESS,Employee 8 - 7272718,,,,,,7272718,Employee 8 - 7272718,8183519100,Employee 8 - 7272718,Employee 8 - 7272718,Employee 8 - 7272718,Employee 8 - 7272718,Employee 8 - 7272718,,,,,,,,,,,,,,,,
MACADDRESS,Employee 9 - 7272719,,,,,,7272719,Employee 9 - 7272719,8183519100,Employee 9 - 7272719,Employee 9 - 7272719,Employee 9 - 7272719,Employee 9 - 7272719,Employee 9 - 7272719,,,,,,,,,,,,,,,,
MACADDRESS,Employee 10 - 7272720,,,,,,7272720,Employee 10 - 7272720,8183519100,Employee 10 - 7272720,Employee 10 - 7272720,Employee 10 - 7272720,Employee 10 - 7272720,Employee 10 - 7272720,,,,,,,,,,,,,,,,
MACADDRESS,Employee 11 - 7272721,,,,,,7272721,Employee 11 - 7272721,8183519100,Employee 11 - 7272721,Employee 11 - 7272721,Employee 11 - 7272721,Employee 11 - 7272721,Employee 11 - 7272721,,,,,,,,,,,,,,,,
MACADDRESS,Employee 12 - 7272722,,,,,,7272722,Employee 12 - 7272722,8183519100,Employee 12 - 7272722,Employee 12 - 7272722,Employee 12 - 7272722,Employee 12 - 7272722,Employee 12 - 7272722,,,,,,,,,,,,,,,,
MACADDRESS,Employee 13 - 7272723,,,,,,7272723,Employee 13 - 7272723,8183519100,Employee 13 - 7272723,Employee 13 - 7272723,Employee 13 - 7272723,Employee 13 - 7272723,Employee 13 - 7272723,,,,,,,,,,,,,,,,
MACADDRESS,Employee 14 - 7272724,,,,,,7272724,Employee 14 - 7272724,8183519100,Employee 14 - 7272724,Employee 14 - 7272724,Employee 14 - 7272724,Employee 14 - 7272724,Employee 14 - 7272724,,,,,,,,,,,,,,,,
MACADDRESS,Employee 15 - 7272725,,,,,,7272725,Employee 15 - 7272725,8183519100,Employee 15 - 7272725,Employee 15 - 7272725,Employee 15 - 7272725,Employee 15 - 7272725,Employee 15 - 7272725,,,,,,,,,,,,,,,,
